Symbol,Live,Trend,Momentum,Volatility,Flow,RelStrength,Quality,Macro,STS,LTS,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore,Issues,98
USO,73.56,3.64,3.43,-15.73,5.85,-11.43,19.72,98.00,-1.45,16.27,2025-10-17,67.72,68.16,67.44,67.98,5516800,72.46,73.39,73.55,-0.09,-0.04,-0.01,FALSE,FALSE,-0.16,-0.09,-52.01,18.34,33.03,-2.14,-1.57,-0.56,-10.07,-2.16,-6.57,7.81,-7.54,2.12,284.94,1.63,0.00,0.00,4.54,-1.85,-18.42,0.99,93106600.00,-7.41,128444279.48,-0.16,28.30,-19.73,-25.85,0.00,-0.12,-1.18,0.01,0.00,-1.57,,
VAB,23.40,6.02,15.12,96.88,20.93,9.82,47.32,98.00,10.32,45.53,2025-10-17,23.37,23.38,23.35,23.37,125400,23.21,23.00,22.82,0.01,0.01,0.00,TRUE,TRUE,0.19,0.01,44.46,30.06,71.94,6.23,0.08,0.01,3.94,2.32,3.98,96.15,0.79,0.33,7.15,0.23,0.02,0.00,0.66,2.82,-2.00,1.04,632200.00,6.63,-2340063943.53,-1.14,78.29,-5.22,-21.91,66.36,0.05,3.77,0.04,0.02,2.25,,
VBAL,37.10,8.38,13.40,90.08,34.23,18.30,53.71,98.00,13.36,46.98,2025-10-17,36.74,36.76,36.63,36.72,105500,36.54,35.85,33.87,0.05,0.04,0.01,TRUE,TRUE,1.98,0.04,19.34,41.79,60.32,-0.67,0.26,-0.03,6.85,16.72,12.81,65.28,1.66,0.72,23.76,0.39,0.48,0.59,0.63,3.93,-1.68,1.07,925707.00,100.95,-975027501.43,-0.74,55.62,-2.31,-7.51,82.97,0.04,2.51,0.77,0.48,0.76,,
VCE,65.25,9.13,12.56,76.16,49.30,25.33,60.87,98.00,15.68,47.01,2025-10-17,64.86,65.20,64.62,64.82,41500,64.95,62.98,57.47,0.13,0.10,0.04,TRUE,TRUE,5.52,0.12,11.15,45.34,54.20,-7.85,0.66,-0.14,8.93,23.72,23.40,27.27,1.71,1.10,57.91,0.62,0.98,0.99,1.21,3.45,-2.29,1.42,453172.00,180.41,-389334382.78,-0.14,51.33,-0.23,-0.51,102.08,0.00,0.20,0.99,0.98,-0.22,,
VCN,61.59,8.62,13.10,74.86,43.99,26.68,62.07,98.00,16.13,47.22,2025-10-17,61.66,61.83,61.20,61.40,200700,61.42,59.40,53.67,0.13,0.10,0.04,TRUE,TRUE,5.73,0.13,12.60,42.75,55.31,-8.47,0.71,-0.12,10.38,26.02,26.07,28.35,2.24,1.15,61.03,0.63,0.99,0.97,1.35,3.87,-2.20,1.77,910200.00,149.63,-1029441975.66,-0.11,54.26,1.21,1.78,103.71,0.02,2.87,0.99,0.99,-0.03,,
VDY,58.14,9.48,12.35,81.11,12.84,25.30,61.04,98.00,15.71,47.88,2025-10-17,57.34,57.60,57.32,57.40,114700,57.76,55.93,50.85,0.12,0.09,0.03,TRUE,TRUE,5.08,0.12,-6.97,47.09,53.07,-12.45,0.51,-0.19,9.77,24.44,20.43,5.71,1.29,0.84,45.81,0.42,0.50,0.56,1.16,5.24,-1.96,0.73,3717402.00,1.41,-2563081323.82,-0.43,49.79,0.61,0.20,100.30,0.08,4.44,0.75,0.50,-0.79,,
VEA,61.59,3.93,13.08,74.84,11.87,-1.29,20.21,98.00,5.24,34.80,2025-10-17,60.47,60.76,60.33,60.71,10372100,60.15,59.34,54.07,0.06,0.06,0.03,TRUE,TRUE,5.26,0.07,18.59,19.45,58.45,6.33,0.33,-0.04,7.00,21.15,22.07,72.52,1.78,0.97,61.16,0.70,-0.01,0.08,1.53,1.55,-4.24,0.85,-309702000.00,-32.86,-159485631360.60,0.17,72.58,-2.67,-2.54,0.00,0.04,0.96,-0.29,-0.01,0.91,,
VEE,46.70,5.89,13.65,76.99,32.45,22.85,54.72,98.00,14.13,45.35,2025-10-17,45.68,45.90,45.61,45.81,37600,45.44,44.01,40.19,0.11,0.07,0.02,TRUE,TRUE,3.82,0.09,16.38,29.22,58.54,4.55,0.50,-0.08,10.06,28.72,20.08,79.34,2.21,1.15,55.62,0.80,0.69,0.29,1.52,3.13,-4.18,1.08,-1609300.00,90.86,-474118462.02,-0.04,55.85,0.90,4.48,85.93,0.07,1.62,0.54,0.69,0.67,,
VEQT,54.20,6.65,13.27,78.79,22.90,25.19,59.65,98.00,15.04,46.93,2025-10-17,53.29,53.41,53.06,53.28,369800,53.07,51.69,47.50,0.10,0.08,0.03,TRUE,TRUE,4.19,0.09,14.40,33.03,57.44,-2.13,0.51,-0.08,9.07,26.74,20.48,59.15,2.13,0.98,51.50,0.61,0.77,0.63,1.09,3.62,-2.66,1.21,-790001.00,43.44,-665277569.30,0.06,55.33,-0.09,2.50,98.31,0.04,1.58,0.79,0.77,0.41,,
VFV,170.11,5.78,13.24,42.32,37.49,26.74,61.86,98.00,15.26,41.33,2025-10-17,164.81,166.04,164.54,165.67,392900,165.11,161.17,149.76,0.30,0.24,0.07,TRUE,TRUE,11.41,0.23,10.23,28.22,57.17,-0.77,1.38,-0.30,8.15,28.33,17.46,58.73,2.10,1.07,142.52,0.66,0.62,0.35,1.21,3.14,-4.36,1.54,-229500.00,113.53,-765814525.30,-0.05,57.33,-1.01,4.10,103.83,0.05,1.54,0.59,0.62,0.39,,
VGRO,43.06,7.11,13.41,85.86,18.26,21.66,56.58,98.00,14.06,47.10,2025-10-17,42.44,42.51,42.32,42.46,167700,42.26,41.30,38.49,0.07,0.05,0.02,TRUE,TRUE,2.82,0.06,18.18,35.38,59.18,-1.60,0.36,-0.05,8.04,21.66,16.55,57.89,1.92,0.87,34.07,0.48,0.63,0.66,0.84,3.92,-2.07,1.06,-2140625.00,28.11,-1421333650.11,-0.61,49.89,-1.13,-2.57,90.30,0.04,2.23,0.82,0.63,0.58,,
VIU,42.88,3.85,14.22,77.87,31.34,22.70,57.03,98.00,13.59,45.61,2025-10-17,42.21,42.30,42.14,42.27,81400,41.65,40.91,37.68,0.06,0.05,0.02,TRUE,TRUE,3.23,0.05,28.75,19.10,61.63,4.90,0.39,0.00,9.16,23.17,23.20,86.11,2.84,0.89,53.72,0.73,0.62,0.28,1.45,2.94,-3.07,0.80,-418800.00,71.37,-695384149.93,0.11,67.21,-0.01,-1.06,91.80,0.06,1.45,0.53,0.62,1.15,,
VLUE,130.88,6.30,13.76,37.83,31.53,1.73,20.44,98.00,7.26,29.67,2025-10-17,125.09,126.24,124.95,125.88,417600,125.22,121.31,110.67,0.29,0.19,0.03,TRUE,TRUE,10.64,0.26,6.95,30.89,57.71,1.44,1.21,-0.31,10.99,29.17,17.37,56.85,2.27,1.49,153.12,0.86,-0.01,0.05,1.63,2.58,-4.26,1.09,-56345800.00,67.31,-5742981198.08,0.13,70.82,1.33,5.47,0.00,0.11,1.99,-0.23,-0.01,0.43,,
VNQ,92.31,2.64,11.34,61.35,10.59,-6.11,19.82,98.00,2.62,31.17,2025-10-17,90.54,91.28,90.26,91.17,2945200,90.45,90.35,88.36,-0.03,0.04,0.01,TRUE,TRUE,1.99,0.03,1.45,13.08,55.06,9.69,-0.11,0.04,1.92,7.03,-1.75,75.74,0.43,1.12,94.63,0.85,-0.01,0.03,1.77,-0.12,-4.58,0.84,-178631700.00,-4.25,-46489259301.34,-0.24,45.01,-7.75,-16.66,0.00,-0.04,-0.82,-0.18,-0.01,0.76,,
VOO,628.03,5.77,11.90,-83.18,17.91,-0.09,20.27,98.00,5.86,8.78,2025-10-17,606.34,612.02,605.10,610.76,6905100,611.42,600.87,553.23,0.77,0.74,0.23,TRUE,TRUE,47.64,0.68,1.23,26.69,53.43,1.64,2.55,-1.36,5.98,26.97,16.05,54.36,0.12,1.21,456.09,0.68,-0.01,0.14,1.27,1.59,-2.95,0.81,43654200.00,13.84,-22891554271.40,-0.21,59.80,-3.69,3.27,0.00,0.05,1.26,-0.38,-0.01,-0.14,,
VTI,336.64,5.34,11.62,1.65,24.53,-0.01,20.25,98.00,5.65,22.81,2025-10-17,325.01,327.94,324.24,327.30,5646200,327.86,322.18,296.65,0.40,0.41,0.12,TRUE,TRUE,25.53,0.38,0.69,25.53,52.82,0.33,1.37,-0.72,6.07,27.23,15.74,53.69,-0.07,1.25,243.99,0.71,-0.01,0.14,1.28,1.56,-3.02,1.25,-30671400.00,56.39,-15403353616.86,-0.01,51.54,-3.60,3.53,0.00,0.05,1.14,-0.38,-0.01,-0.23,,
VTV,188.58,5.28,11.51,50.88,22.82,-3.05,20.13,98.00,4.58,30.46,2025-10-17,184.89,186.01,184.62,185.64,3981200,185.81,183.24,173.88,0.17,0.16,0.05,TRUE,TRUE,9.36,0.18,-0.87,25.91,52.90,-3.01,0.63,-0.30,5.16,15.98,7.56,50.18,0.49,1.09,121.20,0.58,-0.01,0.07,1.01,1.28,-2.85,1.29,997700.00,49.38,-21986577210.01,-0.33,50.58,-4.51,-7.72,0.00,0.02,0.59,-0.27,-0.01,-0.14,,
VUG,495.80,4.55,11.60,-73.02,22.62,2.30,20.30,98.00,6.15,10.62,2025-10-17,473.79,479.56,472.62,478.24,984000,479.59,469.85,422.97,0.73,0.69,0.23,TRUE,TRUE,46.87,0.58,0.34,20.81,52.27,2.10,2.29,-1.32,6.39,36.11,23.66,45.08,-0.35,1.49,430.23,0.90,-0.02,0.14,1.64,1.47,-3.42,0.90,38867000.00,41.20,-1392460258.36,0.11,56.31,-3.28,12.42,0.00,0.07,1.35,-0.37,-0.02,-0.31,,
VUN,128.09,6.18,12.80,55.39,41.89,25.96,60.40,98.00,14.98,43.12,2025-10-17,123.96,124.85,123.85,124.62,116000,124.38,121.34,112.78,0.23,0.19,0.05,TRUE,TRUE,8.56,0.18,7.46,30.36,55.61,-1.55,1.03,-0.25,8.11,28.65,16.92,57.99,1.80,1.24,109.72,0.72,0.71,0.38,1.13,2.85,-4.36,1.78,194400.00,143.70,-195768534.33,0.06,50.40,-1.05,4.41,100.43,0.04,1.05,0.61,0.71,0.22,,
VWO,55.57,5.58,12.42,75.71,12.11,0.26,20.33,98.00,6.09,35.38,2025-10-17,54.06,54.50,54.01,54.38,7325300,54.19,52.83,47.81,0.10,0.08,0.02,TRUE,TRUE,5.02,0.09,6.15,27.66,55.36,6.07,0.37,-0.11,7.71,26.61,19.68,70.86,0.85,1.31,58.58,0.87,-0.02,0.13,1.65,1.89,-4.46,0.74,-245565600.00,-17.54,-142108218762.67,-0.07,61.64,-1.96,2.91,0.00,0.08,1.48,-0.36,-0.02,0.32,,
VXC,75.23,5.95,13.58,71.28,27.29,24.73,58.94,98.00,14.75,45.41,2025-10-17,73.22,73.63,73.13,73.52,28400,73.07,71.38,66.09,0.13,0.10,0.03,TRUE,TRUE,5.29,0.11,17.18,29.45,59.24,1.67,0.64,-0.10,8.52,27.23,18.79,72.52,2.13,0.95,70.32,0.64,0.66,0.41,1.09,3.28,-3.36,1.01,22500.00,63.22,-157690352.68,-0.24,57.63,-0.64,2.99,96.53,0.05,1.55,0.64,0.66,0.64,,
XAW,52.20,5.83,13.48,79.56,35.43,24.73,59.13,98.00,14.68,46.79,2025-10-17,50.93,51.12,50.78,51.03,42300,50.72,49.56,45.95,0.09,0.07,0.02,TRUE,TRUE,3.61,0.07,16.36,28.95,59.13,1.56,0.44,-0.07,8.34,26.90,18.13,71.34,2.10,0.94,49.60,0.64,0.64,0.40,1.12,3.24,-3.36,1.01,-859100.00,102.39,-291218209.43,0.01,58.57,-0.82,2.67,97.00,0.05,1.55,0.63,0.64,0.63,,
XBAL,33.61,6.23,13.85,90.90,40.98,18.67,54.48,98.00,12.92,47.02,2025-10-17,33.21,33.28,33.16,33.26,52400,33.06,32.45,30.69,0.04,0.03,0.01,TRUE,TRUE,1.76,0.04,25.00,31.04,62.43,0.98,0.24,-0.03,6.95,16.50,14.21,69.23,1.77,0.59,21.84,0.36,0.44,0.60,0.65,4.30,-1.72,0.89,2139200.00,128.82,-667754313.04,-0.24,60.02,-2.21,-7.73,84.57,0.05,3.17,0.78,0.44,0.90,,
XBB,28.71,4.85,14.94,96.31,21.33,9.91,47.41,98.00,9.90,45.24,2025-10-17,28.66,28.68,28.63,28.66,139800,28.47,28.21,27.96,0.02,0.01,0.00,TRUE,TRUE,0.25,0.02,42.42,24.22,70.99,4.27,0.10,0.01,3.94,2.46,4.15,93.55,0.84,0.29,8.62,0.23,0.01,0.00,0.66,2.81,-1.94,0.82,12939700.00,19.69,-4572483493.73,-0.35,68.92,-5.22,-21.77,66.58,0.05,3.75,0.04,0.01,2.17,,
XBI,110.90,9.22,19.56,-23.28,2.52,7.10,21.15,98.00,11.96,21.96,2025-10-24,108.75,108.94,108.06,108.39,5688900,105.45,98.09,88.04,0.55,0.25,-0.05,TRUE,TRUE,10.04,0.42,31.77,45.40,67.14,-7.92,3.17,-0.18,25.24,35.12,10.35,69.44,10.66,2.17,304.37,1.31,0.00,0.00,3.31,4.67,-8.54,0.55,303062200.00,-53.99,-944001322.55,0.15,52.48,14.88,13.11,0.00,0.41,4.92,-0.02,0.00,0.97,,
XDV,37.10,8.36,15.91,89.43,0.05,21.44,57.20,98.00,15.24,48.39,2025-10-24,37.06,37.12,37.06,37.10,9900,36.64,35.91,33.05,0.04,0.04,0.02,TRUE,TRUE,2.86,0.05,19.15,41.67,71.57,4.53,0.31,0.00,7.26,19.84,22.07,95.24,2.88,0.62,25.23,0.39,0.38,0.42,1.15,4.52,-2.22,0.36,414400.00,-73.67,-1037047001.25,0.12,58.58,-3.31,-2.16,91.17,0.07,3.53,0.65,0.38,1.83,,
XEC,37.08,5.33,15.58,78.04,7.66,23.85,55.19,98.00,14.92,46.00,2025-10-24,36.91,36.97,36.81,36.82,50600,36.04,34.82,31.35,0.08,0.06,0.01,TRUE,TRUE,3.47,0.08,12.69,26.45,64.19,3.13,0.50,-0.01,13.01,28.00,25.03,93.51,4.45,1.35,52.49,0.86,0.74,0.33,2.14,3.54,-4.08,0.84,1926700.00,-33.07,-266660765.87,-0.06,56.14,2.44,6.00,86.88,0.09,2.00,0.57,0.74,1.48,,
XEF,46.63,3.46,13.79,81.57,3.71,20.95,57.04,98.00,12.74,45.80,2025-10-24,46.45,46.49,46.34,46.36,83400,45.89,45.09,41.70,0.06,0.05,0.02,TRUE,TRUE,3.39,0.06,2.49,17.14,60.41,2.14,0.37,-0.01,7.22,17.22,24.69,88.13,3.60,0.84,44.59,0.65,0.57,0.34,1.30,2.91,-3.03,0.43,250800.00,-42.52,-1301277393.81,0.00,48.34,-3.36,-4.78,91.90,0.04,1.32,0.58,0.57,1.06,,
XEG,18.28,3.24,10.95,82.10,21.85,28.38,69.02,98.00,14.19,48.62,2025-10-24,18.33,18.33,18.14,18.23,2063300,18.23,17.96,16.89,0.01,0.02,0.00,TRUE,TRUE,1.06,0.02,-7.42,16.15,53.26,15.35,-0.05,-0.04,5.44,18.03,7.25,50.33,-3.29,1.74,41.04,1.14,0.42,0.06,3.93,0.53,-6.83,1.12,82572900.00,44.83,-12771175300.76,-0.32,50.51,-5.14,-3.97,122.65,-0.01,-0.19,0.25,0.42,0.01,,
XEI,31.33,7.40,14.11,91.78,27.20,22.61,58.80,98.00,14.71,48.78,2025-10-24,31.36,31.38,31.29,31.32,130800,31.21,30.52,27.92,0.04,0.04,0.02,TRUE,TRUE,2.60,0.05,-12.73,36.85,63.30,9.56,0.18,-0.05,8.40,19.86,18.81,58.54,1.06,0.76,19.10,0.36,0.32,0.36,1.38,5.19,-2.09,0.89,4338200.00,75.34,-1772677365.44,-0.08,47.54,-2.18,-2.14,94.66,0.08,4.50,0.60,0.32,0.56,,
XEQT,39.92,4.52,14.39,86.56,4.11,24.74,59.74,98.00,14.55,47.99,2025-10-24,39.72,39.88,39.70,39.76,347200,39.30,38.38,35.21,0.06,0.06,0.02,TRUE,TRUE,3.17,0.06,6.72,22.44,61.91,3.83,0.34,-0.04,9.68,23.19,23.08,90.60,3.18,1.05,32.00,0.62,0.74,0.63,1.12,3.45,-2.55,0.67,-5273000.00,-32.11,-1218956757.51,0.02,41.31,-0.89,1.19,98.65,0.03,1.33,0.79,0.74,1.41,,
XFN,72.54,5.63,14.37,82.11,-3.14,26.13,61.21,98.00,15.38,47.91,2025-10-24,71.95,72.32,71.95,72.16,92900,71.43,69.85,62.85,0.08,0.11,0.05,TRUE,TRUE,7.00,0.13,5.26,27.75,62.89,7.30,0.47,-0.08,9.25,25.48,29.04,81.96,2.05,0.98,43.18,0.61,0.73,0.64,1.14,3.42,-2.24,0.84,2728500.00,-72.25,-3418583807.35,-0.06,44.30,-1.33,3.48,102.35,0.03,1.28,0.80,0.73,1.68,,
XGB,19.63,6.80,14.52,96.18,9.61,9.66,46.49,98.00,10.33,45.27,2025-10-24,19.68,19.69,19.64,19.65,28000,19.53,19.35,19.19,0.01,0.01,0.00,TRUE,TRUE,0.16,0.01,39.54,33.98,68.57,-3.78,0.08,0.00,4.07,2.77,4.84,85.71,1.18,0.27,8.93,0.22,0.02,0.00,0.73,2.86,-2.26,0.71,3095100.00,-31.54,-1018435199.53,-0.30,63.15,-6.51,-19.23,64.30,0.05,3.76,0.06,0.02,1.33,,
XGRO,35.02,5.04,14.26,89.98,1.71,21.52,56.82,98.00,13.61,47.60,2025-10-24,34.92,35.00,34.90,34.90,61300,34.55,33.85,31.46,0.05,0.04,0.01,TRUE,TRUE,2.39,0.05,8.25,25.07,62.66,3.41,0.26,-0.02,8.42,19.19,18.93,90.00,2.74,0.88,23.68,0.50,0.55,0.54,0.98,3.67,-2.30,0.79,-1159876.00,-46.56,-736060239.14,0.06,43.06,-2.16,-2.81,91.01,0.04,2.00,0.73,0.55,1.48,,
XIC,48.18,6.18,13.62,82.77,10.63,26.43,61.27,98.00,15.41,48.04,2025-10-24,48.29,48.53,48.29,48.43,237200,48.20,46.82,42.09,0.08,0.08,0.03,TRUE,TRUE,4.73,0.10,-2.91,30.61,57.50,7.21,0.38,-0.12,11.45,24.24,26.90,55.28,2.24,1.26,41.12,0.69,1.02,0.96,1.41,3.62,-2.43,0.67,7869000.00,-3.30,-4406637661.42,-0.04,44.38,0.88,2.24,102.61,0.01,1.12,0.98,1.02,0.57,,
XIT,86.59,3.14,17.60,7.45,11.60,31.75,63.12,98.00,17.50,36.84,2025-10-24,85.02,86.43,85.02,85.96,19900,81.45,79.91,71.90,0.05,0.16,0.07,TRUE,TRUE,8.01,0.12,28.40,15.24,65.25,11.53,1.17,0.25,17.72,33.52,43.92,92.75,10.28,2.32,226.90,1.67,1.80,0.52,4.31,1.89,-7.61,1.57,35233.00,-16.03,1086898.61,0.03,57.34,7.15,11.52,108.40,-0.08,-1.03,0.72,1.80,1.99,,
XIU,45.14,6.32,13.63,85.48,11.38,25.00,60.00,98.00,14.98,48.07,2025-10-24,45.19,45.35,45.16,45.28,3203800,45.02,43.88,39.81,0.07,0.07,0.03,TRUE,TRUE,4.06,0.08,-4.50,31.36,58.38,7.40,0.32,-0.09,10.58,22.00,25.10,63.70,2.10,1.12,34.60,0.67,1.00,1.00,1.16,3.46,-2.35,1.05,26277500.00,-8.11,-35011358114.81,0.00,50.72,0.00,0.00,100.00,0.00,0.00,1.00,1.00,0.77,,
XLB,89.10,7.76,-28.95,-1159.66,-10.32,-47.25,18.96,98.00,-22.81,-185.19,2025-10-24,19.31,19.31,19.27,19.27,23100,71.50,82.91,85.31,-0.73,-0.03,-0.01,FALSE,FALSE,-2.41,-0.54,-92.59,39.39,4.96,0.12,-17.47,-8.06,-78.73,-76.45,-79.52,0.10,-78.31,31.00,3094.67,10.11,-0.03,0.00,46.97,-2.05,-79.16,0.01,-207837200.00,-99.54,-31187223789.43,-0.21,38.55,-89.09,-98.45,0.00,-1.47,-2.27,-0.06,-0.03,-1.69,,
XLC,116.63,3.51,11.04,43.95,6.69,-0.19,20.43,98.00,4.78,29.46,2025-10-24,115.92,116.32,115.50,115.55,4758000,115.73,114.81,103.98,-0.07,0.19,0.08,TRUE,TRUE,10.84,0.16,-8.19,16.96,50.65,-5.53,0.06,-0.08,8.33,23.18,28.44,64.69,-2.22,1.26,138.09,0.79,-0.01,0.09,1.56,2.30,-5.21,0.97,326013800.00,-36.24,-15559725941.10,-0.16,54.76,-2.03,1.18,0.00,0.09,1.98,-0.30,-0.01,-0.13,,
XLE,88.31,3.43,9.81,36.89,3.67,-5.71,20.06,98.00,2.51,27.08,2025-10-24,89.37,89.40,88.01,88.07,10589400,87.79,87.86,85.82,-0.05,0.05,-0.01,TRUE,TRUE,2.04,0.06,-10.98,17.03,51.77,6.28,-0.20,0.09,0.83,8.68,0.80,64.56,-4.26,1.81,154.47,1.05,-0.01,0.01,3.00,0.30,-7.36,0.73,1263004300.00,-47.27,-137824429342.64,-0.08,51.71,-9.53,-13.32,0.00,0.02,0.27,-0.09,-0.01,0.18,,
XLF,53.34,2.73,9.98,73.08,11.60,-5.16,19.97,98.00,2.52,33.10,2025-10-24,52.85,53.28,52.81,53.11,31942100,53.08,53.25,50.86,-0.03,0.03,0.04,FALSE,TRUE,2.39,0.02,-9.35,13.52,50.93,4.54,-0.20,-0.03,0.40,11.34,14.30,62.55,-1.39,1.56,64.71,0.87,-0.01,0.04,2.05,0.31,-4.38,0.78,-810257200.00,4.09,-207719372242.55,-0.11,42.29,-9.96,-10.66,0.00,-0.01,-0.16,-0.19,-0.01,0.05,,
XLI,155.58,3.49,11.75,40.64,13.82,-2.69,19.98,98.00,4.19,28.53,2025-10-24,156.00,156.04,154.84,154.91,7502400,153.47,152.17,141.63,0.09,0.08,0.07,TRUE,TRUE,10.53,0.07,-1.09,17.18,56.34,-1.15,0.50,0.12,0.67,20.94,14.73,81.63,1.53,1.61,145.87,0.80,-0.01,0.05,1.84,0.51,-3.66,0.72,-16150300.00,7.81,-44869796213.32,-0.11,48.27,-9.69,-1.06,0.00,0.00,-0.09,-0.21,-0.01,0.99,,
XLK,298.41,4.00,16.40,-48.30,10.69,5.09,20.58,98.00,8.50,15.96,2025-10-24,292.50,294.57,292.07,293.58,7179000,285.77,275.18,242.07,0.70,0.41,0.09,TRUE,TRUE,33.11,0.56,12.61,18.67,64.81,4.10,3.78,0.00,11.31,41.24,27.48,93.94,5.29,1.95,367.43,1.12,-0.02,0.11,2.75,2.51,-4.23,0.75,354290400.00,-13.16,-11211163199.35,0.03,52.37,0.95,19.24,0.00,0.17,2.58,-0.33,-0.02,2.13,,
XLP,79.04,2.71,10.31,70.15,16.76,-8.62,19.84,98.00,1.47,32.06,2025-10-24,79.88,79.90,79.06,79.09,12735500,78.60,79.40,79.58,-0.04,-0.03,0.01,FALSE,FALSE,-0.17,-0.06,26.25,13.61,51.10,-2.69,0.10,0.17,-1.27,-0.82,-0.97,62.46,1.45,1.10,72.81,0.66,0.00,0.00,1.42,-0.40,-6.28,1.05,-14290200.00,10.29,-115235343076.21,-0.05,57.62,-11.63,-22.82,0.00,-0.03,-0.76,-0.03,0.00,0.68,,
XLRE,42.55,2.73,13.18,76.69,40.69,-5.79,20.11,98.00,3.37,34.15,2025-10-24,42.72,42.88,42.64,42.65,7820300,41.85,41.72,41.02,0.00,0.01,0.01,TRUE,TRUE,0.70,0.02,27.89,13.59,62.41,3.21,0.22,0.13,2.20,6.99,0.50,89.87,1.84,1.07,55.95,0.73,-0.01,0.03,2.50,1.06,-4.46,1.16,-136625500.00,127.59,-47827247921.85,0.02,59.27,-8.16,-15.01,0.00,0.02,0.50,-0.16,-0.01,1.43,,
XLU,90.88,8.14,15.41,34.61,21.42,-0.95,20.43,98.00,7.54,29.27,2025-10-24,90.85,91.84,90.76,91.39,10867800,90.19,86.76,80.92,0.33,0.08,0.04,TRUE,TRUE,5.84,0.12,20.35,40.42,64.11,3.27,1.35,-0.19,10.03,18.46,15.66,39.59,5.28,1.35,161.06,0.78,-0.01,0.07,2.13,2.16,-5.38,0.98,308244000.00,33.89,-105104582882.91,0.04,57.34,-0.33,-3.55,0.00,0.09,1.95,-0.27,-0.01,0.74,,
XLV,145.69,5.18,16.99,2.44,7.90,-4.24,20.76,98.00,5.98,23.19,2025-10-24,146.29,146.76,145.88,146.03,7007400,143.30,139.26,137.86,0.33,0.11,-0.05,TRUE,TRUE,1.40,0.24,25.37,25.56,70.15,2.36,1.98,0.13,8.43,6.77,-1.64,87.22,7.77,1.06,241.96,0.90,0.00,0.01,1.75,3.26,-8.33,0.62,-26774000.00,-30.42,-50131821478.99,0.14,55.05,-1.93,-15.23,0.00,0.19,3.41,-0.09,0.00,1.13,,
XLY,240.69,3.36,11.39,-24.76,4.56,-1.57,20.25,98.00,4.39,17.78,2025-10-24,239.26,239.83,237.42,237.66,3240800,236.66,235.53,217.75,-0.11,0.35,0.13,TRUE,TRUE,17.78,0.26,-7.19,15.82,52.96,-3.21,0.36,0.17,5.26,20.74,21.57,78.84,-0.86,1.71,309.22,1.06,-0.02,0.07,1.93,1.66,-5.38,0.56,93890100.00,-33.52,-9936357978.21,0.06,44.32,-5.10,-1.26,0.00,0.07,1.12,-0.27,-0.02,0.32,,
XME,96.91,8.23,17.00,-97.78,15.39,19.03,20.74,98.00,14.75,10.87,2025-10-24,98.88,101.00,98.81,99.82,1785900,100.81,90.91,69.43,0.77,0.40,0.03,TRUE,TRUE,21.49,0.55,4.19,39.97,53.30,-1.01,2.96,-1.22,31.11,76.99,52.28,28.31,8.26,4.83,486.37,2.08,-0.04,0.12,6.50,3.99,-10.69,0.54,119320200.00,3.98,-4557113822.01,-0.05,57.76,20.75,54.99,0.00,0.37,2.97,-0.35,-0.04,-0.20,,
XQQ,63.57,3.30,14.57,72.80,5.17,25.81,58.50,98.00,14.56,45.50,2025-10-24,62.73,62.91,62.61,62.78,133900,61.55,60.12,54.58,0.09,0.08,0.02,TRUE,TRUE,5.54,0.08,16.15,16.27,62.62,1.67,0.57,0.02,8.84,30.94,24.66,95.55,3.82,1.52,65.46,0.88,0.76,0.33,2.07,2.23,-3.63,0.89,1966100.00,-34.75,-161689346.27,0.09,47.30,-1.73,8.94,96.03,0.02,0.39,0.57,0.76,1.88,,
XRB,23.39,3.56,12.86,93.76,165.28,7.79,43.40,98.00,8.07,43.23,2025-10-24,23.46,23.46,23.39,23.39,1700,23.26,23.10,23.05,0.00,0.01,0.00,TRUE,TRUE,0.05,0.01,26.58,17.78,59.88,-3.68,0.09,0.01,4.56,1.63,4.17,84.06,1.17,0.47,14.64,0.35,0.06,0.01,1.00,1.56,-4.49,0.42,-241720.00,750.00,-142817165.96,0.15,60.46,-6.02,-20.38,57.52,0.04,1.87,0.11,0.06,0.90,,
XRE,16.22,2.98,12.05,92.83,1.06,11.01,43.96,98.00,8.68,43.47,2025-10-24,16.20,16.28,16.20,16.21,178100,16.07,16.07,15.12,-0.01,0.01,0.00,TRUE,TRUE,0.95,0.01,-15.25,14.89,57.25,7.06,0.00,0.02,2.75,13.73,1.28,70.77,1.19,1.00,16.10,0.65,0.40,0.17,1.61,0.76,-3.48,0.67,-21428000.00,-51.17,-5242551271.87,-0.06,44.41,-7.82,-8.27,60.16,-0.02,-0.47,0.41,0.40,0.88,,
