Symbol,Live,Trend,Momentum,Volatility,Flow,RelStrength,Quality,Macro,STS,LTS,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA200,SMA20_Slp,SMA50_Slp,SMA200_Slp,>MA50,>MA200,GoldenX,LinReg_Slp,Chande,ADX14,RSI14,RSI_D3,MACD_Line,MACD_Hist,RET_3M_pct,RET_6M_pct,RET_12M_pct,StochK14,ROC20_pct,ATR_pct,StdDev20,Vol60,Beta60,R2_60,Ulcer14,Sharpe60,MaxDD_6M_pct,Vol_vs_Avg,OBV,VolROC20,AD_Line,CMF20,MFI14,RS_3M,RS_6M,RS_Bench,Alpha60,InfoRatio,Corr60,Beta,ZScore,Issues,98
ITOT,149.45,4.98,11.54,55.57,28.75,0.00,20.24,98.00,5.51,31.72,2025-10-17,144.22,145.57,143.92,145.31,2782700,145.53,143.04,131.71,0.17,0.18,0.05,TRUE,TRUE,11.33,0.17,0.78,24.40,52.90,0.54,0.60,-0.32,6.01,27.31,15.77,54.24,-0.06,1.25,109.18,0.71,-0.01,0.15,1.28,1.53,-3.04,1.47,-96437600.00,79.16,-7712478092.75,0.07,49.86,-3.66,3.61,0.00,0.05,1.09,-0.38,-0.01,-0.20,,
IVV,686.44,5.48,11.96,-101.31,18.31,-0.06,20.27,98.00,5.80,5.72,2025-10-17,662.71,668.94,661.40,667.69,6734100,668.29,656.75,604.63,0.84,0.81,0.25,TRUE,TRUE,52.12,0.75,1.64,25.08,53.54,1.64,2.81,-1.47,6.01,27.07,16.10,55.08,0.12,1.21,501.42,0.68,-0.01,0.14,1.28,1.59,-2.99,1.05,-65869200.00,4.98,-23885706161.31,0.11,67.87,-3.66,3.38,0.00,0.05,1.25,-0.38,-0.01,-0.12,,
IWB,374.77,5.21,11.58,-8.75,3.08,-0.16,20.25,98.00,5.55,21.02,2025-10-17,361.81,365.23,361.08,364.57,794600,365.16,359.10,330.96,0.43,0.44,0.14,TRUE,TRUE,28.14,0.40,0.26,24.81,52.87,1.17,1.40,-0.81,5.82,26.86,15.88,54.23,-0.07,1.21,270.04,0.69,-0.01,0.14,1.28,1.52,-3.00,0.95,33091500.00,-60.09,-3711358711.23,0.08,59.19,-3.85,3.16,0.00,0.05,1.14,-0.38,-0.01,-0.22,,
IWD,207.24,4.27,10.95,42.59,63.46,-3.31,20.02,98.00,3.97,28.75,2025-10-17,201.90,203.23,201.67,202.84,9309200,203.12,201.07,190.93,0.12,0.17,0.06,TRUE,TRUE,10.14,0.17,-2.37,20.82,51.54,-1.49,0.43,-0.31,4.04,16.07,7.66,52.04,0.03,1.14,141.81,0.63,-0.01,0.09,1.16,0.78,-3.17,2.78,-3991800.00,250.15,-16029417156.84,-0.07,50.45,-5.62,-7.63,0.00,0.00,0.09,-0.29,-0.01,-0.20,,
IWF,483.25,4.74,11.93,-62.25,43.98,2.78,20.36,98.00,6.48,12.59,2025-10-17,462.68,468.33,461.54,467.12,3092600,468.30,457.75,411.32,0.79,0.72,0.21,TRUE,TRUE,46.43,0.63,1.08,21.67,52.88,1.86,2.52,-1.35,7.38,37.00,23.45,45.68,-0.33,1.49,403.38,0.88,-0.02,0.14,1.52,1.75,-3.26,2.21,93820400.00,159.49,-2318384089.60,0.10,45.59,-2.28,13.30,0.00,0.08,1.61,-0.38,-0.02,-0.29,,
IWM,250.67,4.35,12.42,-18.29,12.87,2.05,20.15,98.00,6.27,19.78,2025-10-17,243.32,245.16,241.47,243.41,55349700,243.91,237.33,216.93,0.37,0.43,0.01,TRUE,TRUE,20.40,0.51,4.61,20.59,51.84,-8.50,2.33,-0.38,10.24,31.26,10.30,38.46,0.18,1.98,292.50,1.23,-0.02,0.12,2.52,1.79,-5.19,1.44,292421300.00,-1.32,-78323921083.80,0.01,50.78,0.57,7.57,0.00,0.05,0.65,-0.35,-0.02,-0.17,,
IWO,334.33,3.59,13.31,-91.36,16.51,3.31,20.22,98.00,6.74,7.85,2025-10-17,324.76,327.19,320.98,324.03,382700,324.07,313.53,284.86,0.67,0.57,0.03,TRUE,TRUE,28.67,0.73,7.65,16.32,52.66,-9.53,4.17,-0.38,11.68,34.85,13.33,35.56,0.50,2.08,474.76,1.25,-0.03,0.15,3.11,2.07,-3.95,0.78,1321600.00,7.05,-808320529.71,0.07,59.42,2.02,11.15,0.00,0.07,0.98,-0.39,-0.03,-0.01,,
IWP,145.24,4.19,8.75,48.55,140.08,-1.88,19.84,98.00,3.69,29.58,2025-10-17,140.53,141.65,139.79,141.20,3029900,142.68,142.24,132.70,-0.03,0.10,0.09,FALSE,TRUE,9.54,0.05,-12.15,20.65,45.33,-4.24,-0.24,-0.23,1.06,24.83,17.10,29.72,-2.39,1.65,126.26,0.90,-0.02,0.14,1.42,-0.10,-3.81,3.41,38565500.00,653.71,-963842156.30,0.05,33.20,-8.61,1.14,0.00,-0.04,-0.73,-0.38,-0.02,-1.17,,
IWS,140.95,4.18,9.64,45.65,7.01,-3.30,19.87,98.00,3.51,29.01,2025-10-17,136.99,137.94,136.87,137.75,715100,138.91,137.92,130.51,0.05,0.12,0.02,FALSE,TRUE,7.41,0.09,-11.85,20.60,47.05,-2.73,-0.04,-0.31,2.79,17.42,5.16,35.15,-0.70,1.32,133.68,0.80,-0.01,0.07,1.71,0.14,-3.74,2.05,641700.00,-18.18,-2394697208.82,0.00,40.12,-6.88,-6.27,0.00,-0.03,-0.61,-0.27,-0.01,-0.87,,
IYR,98.07,2.43,11.56,60.51,16.08,-6.29,19.79,98.00,2.57,31.00,2025-10-17,96.33,97.06,95.96,96.95,5658600,96.02,95.96,94.06,-0.03,0.03,0.01,TRUE,TRUE,1.90,0.02,3.49,12.06,56.01,9.94,-0.08,0.07,1.55,6.68,-1.67,80.86,0.85,1.09,96.80,0.85,-0.01,0.03,1.67,-0.29,-4.24,0.92,-271382700.00,18.44,-41103050519.75,0.03,48.45,-8.11,-17.01,0.00,-0.05,-0.93,-0.18,-0.01,0.96,,
JNK,97.88,4.90,10.78,86.86,18.30,-5.99,20.29,98.00,3.23,35.81,2025-10-17,96.93,97.26,96.93,97.24,5945500,97.29,96.83,93.76,0.02,0.05,0.03,TRUE,TRUE,3.07,0.04,-9.09,24.34,52.60,4.30,0.04,-0.06,2.10,7.27,7.28,53.80,-0.32,0.38,32.20,0.23,0.00,0.12,0.55,1.18,-1.34,1.22,10817900.00,45.56,-333302080974.18,-2.17,37.47,-7.57,-16.43,0.00,0.02,1.40,-0.35,0.00,-0.14,,
LQD,112.67,3.19,13.55,80.10,23.51,-5.35,20.63,98.00,3.80,35.02,2025-10-17,112.29,112.32,112.11,112.20,35433500,111.42,110.54,106.71,0.04,0.07,0.01,TRUE,TRUE,3.83,0.07,30.14,15.76,63.30,-0.96,0.43,0.04,4.38,7.51,5.33,80.65,0.78,0.39,48.94,0.32,0.00,0.01,0.81,2.81,-2.22,1.16,591052500.00,31.99,-582375351219.60,-0.81,67.86,-5.29,-16.19,0.00,0.06,3.05,-0.11,0.00,1.59,,
MTUM,257.20,4.53,10.60,31.49,11.42,0.62,20.29,98.00,5.25,27.59,2025-10-17,252.08,253.36,250.17,252.80,539000,254.80,249.97,226.81,0.34,0.29,0.16,TRUE,TRUE,23.16,0.30,-14.84,21.67,49.55,-3.62,0.86,-0.64,5.78,29.98,23.51,36.74,-1.56,1.36,169.42,0.76,-0.02,0.15,1.01,1.68,-3.00,0.65,-9641100.00,6.17,-2423105169.41,0.09,39.88,-3.88,6.29,0.00,0.06,1.33,-0.38,-0.02,-1.18,,
