Symbol,Settings,Date,Open,High,Low,Close,Volume
ZQQ,Ex:TSE | Src:Google,2022-09-29,81.030,81.250,79.000,79.950,80781
ZQQ,Ex:TSE | Src:Google,2024-06-19,140.160,140.240,139.530,139.700,10407
ZQQ,Ex:TSE | Src:Google,2024-06-20,140.090,140.330,138.290,138.760,45852
ZQQ,Ex:TSE | Src:Google,2024-06-21,138.680,138.880,138.000,138.380,25566
ZQQ,Ex:TSE | Src:Google,2024-06-24,138.060,138.400,136.740,136.770,32518
ZQQ,Ex:TSE | Src:Google,2024-06-25,137.340,138.430,137.330,138.340,12252
ZQQ,Ex:TSE | Src:Google,2024-06-26,138.110,138.750,138.110,138.740,15624
ZQQ,Ex:TSE | Src:Google,2024-06-27,138.600,139.360,138.490,138.870,8849
ZQQ,Ex:TSE | Src:Google,2024-06-28,139.200,140.520,138.130,138.160,36800
ZQQ,Ex:TSE | Src:Google,2024-07-02,138.540,140.460,138.540,140.460,38002
ZQQ,Ex:TSE | Src:Google,2024-07-03,140.270,142.550,140.270,142.550,17232
ZQQ,Ex:TSE | Src:Google,2024-07-04,142.280,142.280,141.760,142.040,9616
ZQQ,Ex:TSE | Src:Google,2024-07-05,141.940,143.260,141.860,143.120,34512
ZQQ,Ex:TSE | Src:Google,2024-07-08,143.220,143.600,142.980,143.420,15747
ZQQ,Ex:TSE | Src:Google,2024-07-09,143.870,144.060,143.290,143.550,17651
ZQQ,Ex:TSE | Src:Google,2024-07-10,144.180,145.200,143.780,145.080,27413
ZQQ,Ex:TSE | Src:Google,2024-07-11,145.150,145.150,141.550,141.980,63116
ZQQ,Ex:TSE | Src:Google,2024-07-12,142.020,143.980,141.980,142.620,28238
ZQQ,Ex:TSE | Src:Google,2024-07-15,143.010,144.140,142.550,142.850,49519
ZQQ,Ex:TSE | Src:Google,2024-07-16,143.420,143.610,142.300,143.210,24317
ZQQ,Ex:TSE | Src:Google,2024-07-17,140.900,140.900,138.940,138.970,69726
ZQQ,Ex:TSE | Src:Google,2024-07-18,139.970,140.000,137.400,138.170,72828
ZQQ,Ex:TSE | Src:Google,2024-07-19,138.100,138.900,136.770,137.070,59270
ZQQ,Ex:TSE | Src:Google,2024-07-22,138.800,139.370,137.800,139.100,31326
ZQQ,Ex:TSE | Src:Google,2024-07-23,138.860,139.550,138.480,138.590,20517
ZQQ,Ex:TSE | Src:Google,2024-07-24,136.630,136.650,133.340,133.590,77098
ZQQ,Ex:TSE | Src:Google,2024-07-25,133.620,134.850,131.440,132.030,56236
ZQQ,Ex:TSE | Src:Google,2024-07-26,133.390,134.230,132.570,133.200,38185
ZQQ,Ex:TSE | Src:Google,2024-07-29,134.260,134.810,133.050,133.630,27150
ZQQ,Ex:TSE | Src:Google,2024-07-30,134.210,134.260,130.880,131.730,52522
ZQQ,Ex:TSE | Src:Google,2024-07-31,134.880,136.230,134.520,135.850,54628
ZQQ,Ex:TSE | Src:Google,2024-08-01,136.000,136.940,131.500,132.520,75156
ZQQ,Ex:TSE | Src:Google,2024-08-02,129.790,130.700,128.160,129.280,139139
ZQQ,Ex:TSE | Src:Google,2024-08-06,125.980,128.830,125.270,126.780,101026
ZQQ,Ex:TSE | Src:Google,2024-08-07,128.730,129.290,125.230,125.260,65390
ZQQ,Ex:TSE | Src:Google,2024-08-08,127.140,129.320,126.080,129.180,75345
ZQQ,Ex:TSE | Src:Google,2024-08-09,128.800,130.230,128.550,129.880,48022
ZQQ,Ex:TSE | Src:Google,2024-08-12,130.070,130.890,129.380,129.880,148628
ZQQ,Ex:TSE | Src:Google,2024-08-13,131.770,133.290,131.500,133.290,34087
ZQQ,Ex:TSE | Src:Google,2024-08-14,133.480,133.910,132.490,133.420,29013
ZQQ,Ex:TSE | Src:Google,2024-08-15,135.070,136.720,135.010,136.630,24703
ZQQ,Ex:TSE | Src:Google,2024-08-16,136.170,137.070,136.000,136.780,30222
ZQQ,Ex:TSE | Src:Google,2024-08-19,136.830,138.550,136.480,138.530,19175
ZQQ,Ex:TSE | Src:Google,2024-08-20,138.310,139.000,137.820,138.210,13472
ZQQ,Ex:TSE | Src:Google,2024-08-21,138.480,139.340,138.020,138.880,21059
ZQQ,Ex:TSE | Src:Google,2024-08-22,139.490,139.590,136.510,136.690,30300
ZQQ,Ex:TSE | Src:Google,2024-08-23,137.910,138.840,136.970,138.110,52956
ZQQ,Ex:TSE | Src:Google,2024-08-26,137.930,138.030,136.230,136.540,39388
ZQQ,Ex:TSE | Src:Google,2024-08-27,136.250,137.430,135.830,137.180,38200
ZQQ,Ex:TSE | Src:Google,2024-08-28,137.000,137.000,134.670,135.640,81284
ZQQ,Ex:TSE | Src:Google,2024-08-29,136.130,137.440,135.220,135.450,53053
ZQQ,Ex:TSE | Src:Google,2024-08-30,136.590,137.110,135.570,137.090,19930
ZQQ,Ex:TSE | Src:Google,2024-09-03,136.090,136.110,132.230,132.800,46006
ZQQ,Ex:TSE | Src:Google,2024-09-04,131.890,133.500,131.850,132.670,47967
ZQQ,Ex:TSE | Src:Google,2024-09-05,132.140,133.770,131.780,132.420,41130
ZQQ,Ex:TSE | Src:Google,2024-09-06,132.350,132.400,128.870,129.020,65143
ZQQ,Ex:TSE | Src:Google,2024-09-09,130.260,130.890,129.430,130.680,37765
ZQQ,Ex:TSE | Src:Google,2024-09-10,131.130,131.950,129.990,131.900,38378
ZQQ,Ex:TSE | Src:Google,2024-09-11,132.150,134.880,129.700,134.830,58574
ZQQ,Ex:TSE | Src:Google,2024-09-12,134.510,136.200,134.490,135.980,47388
ZQQ,Ex:TSE | Src:Google,2024-09-13,135.790,137.000,135.790,136.690,50141
ZQQ,Ex:TSE | Src:Google,2024-09-16,136.120,136.130,135.110,136.010,28653
ZQQ,Ex:TSE | Src:Google,2024-09-17,136.960,137.250,135.500,135.990,42519
ZQQ,Ex:TSE | Src:Google,2024-09-18,136.410,137.500,135.370,135.480,84040
ZQQ,Ex:TSE | Src:Google,2024-09-19,138.710,139.760,138.150,138.960,90094
ZQQ,Ex:TSE | Src:Google,2024-09-20,138.680,139.000,137.520,138.620,53387
ZQQ,Ex:TSE | Src:Google,2024-09-23,138.960,139.270,138.780,139.040,25195
ZQQ,Ex:TSE | Src:Google,2024-09-24,139.350,139.910,138.250,139.630,37266
ZQQ,Ex:TSE | Src:Google,2024-09-25,139.550,140.280,139.450,139.880,21706
ZQQ,Ex:TSE | Src:Google,2024-09-26,141.990,142.000,139.820,140.870,27341
ZQQ,Ex:TSE | Src:Google,2024-09-27,141.140,141.160,139.830,140.130,30611
ZQQ,Ex:TSE | Src:Google,2024-09-30,139.770,140.500,139.000,140.330,38803
ZQQ,Ex:TSE | Src:Google,2024-10-01,140.370,140.370,137.420,138.400,83839
ZQQ,Ex:TSE | Src:Google,2024-10-02,137.950,139.180,137.560,138.710,51642
ZQQ,Ex:TSE | Src:Google,2024-10-03,138.090,139.300,137.980,138.540,42260
ZQQ,Ex:TSE | Src:Google,2024-10-04,140.240,140.350,138.850,140.350,40982
ZQQ,Ex:TSE | Src:Google,2024-10-07,139.610,139.890,138.410,138.540,23466
ZQQ,Ex:TSE | Src:Google,2024-10-08,139.390,140.940,139.290,140.800,39055
ZQQ,Ex:TSE | Src:Google,2024-10-09,140.720,142.030,140.470,141.920,44569
ZQQ,Ex:TSE | Src:Google,2024-10-10,141.250,142.260,140.920,141.740,41859
ZQQ,Ex:TSE | Src:Google,2024-10-11,141.220,142.170,141.130,141.960,25587
ZQQ,Ex:TSE | Src:Google,2024-10-15,143.160,143.430,140.620,141.140,49175
ZQQ,Ex:TSE | Src:Google,2024-10-16,141.300,141.370,140.360,141.210,29038
ZQQ,Ex:TSE | Src:Google,2024-10-17,142.760,142.820,141.370,141.380,33669
ZQQ,Ex:TSE | Src:Google,2024-10-18,142.070,142.510,142.010,142.300,21145
ZQQ,Ex:TSE | Src:Google,2024-10-21,141.960,142.750,141.450,142.490,42319
ZQQ,Ex:TSE | Src:Google,2024-10-22,141.770,143.100,141.630,142.710,40681
ZQQ,Ex:TSE | Src:Google,2024-10-23,141.970,142.100,139.500,140.490,50284
ZQQ,Ex:TSE | Src:Google,2024-10-24,141.590,141.780,140.800,141.700,49022
ZQQ,Ex:TSE | Src:Google,2024-10-25,142.440,143.910,142.280,142.440,49412
ZQQ,Ex:TSE | Src:Google,2024-10-28,143.390,143.390,142.430,142.480,29237
ZQQ,Ex:TSE | Src:Google,2024-10-29,142.580,144.260,142.080,143.920,36854
ZQQ,Ex:TSE | Src:Google,2024-10-30,143.900,143.950,142.720,142.740,34584
ZQQ,Ex:TSE | Src:Google,2024-10-31,141.530,141.530,139.110,139.170,68727
ZQQ,Ex:TSE | Src:Google,2024-11-01,139.580,141.010,139.580,140.110,27539
ZQQ,Ex:TSE | Src:Google,2024-11-04,139.940,140.600,139.200,139.620,17293
ZQQ,Ex:TSE | Src:Google,2024-11-05,140.000,141.600,140.000,141.300,24541
ZQQ,Ex:TSE | Src:Google,2024-11-06,143.960,145.500,143.560,145.280,56165
ZQQ,Ex:TSE | Src:Google,2024-11-07,146.110,147.730,146.060,147.540,36205
ZQQ,Ex:TSE | Src:Google,2024-11-08,147.440,147.950,147.280,147.700,34687
ZQQ,Ex:TSE | Src:Google,2024-11-11,148.110,148.110,146.850,147.440,32688
ZQQ,Ex:TSE | Src:Google,2024-11-12,147.610,147.740,146.680,147.350,24734
ZQQ,Ex:TSE | Src:Google,2024-11-13,147.260,147.920,146.690,147.110,30963
ZQQ,Ex:TSE | Src:Google,2024-11-14,147.080,147.280,145.980,146.140,24610
ZQQ,Ex:TSE | Src:Google,2024-11-15,144.520,144.520,142.130,142.580,56355
ZQQ,Ex:TSE | Src:Google,2024-11-18,142.950,144.210,142.700,143.610,34333
ZQQ,Ex:TSE | Src:Google,2024-11-19,142.800,144.700,142.800,144.590,32931
ZQQ,Ex:TSE | Src:Google,2024-11-20,144.490,144.600,142.660,144.460,41903
ZQQ,Ex:TSE | Src:Google,2024-11-21,145.340,145.400,143.000,145.120,47933
ZQQ,Ex:TSE | Src:Google,2024-11-22,144.840,145.400,144.530,145.260,22188
ZQQ,Ex:TSE | Src:Google,2024-11-25,146.240,146.850,144.880,145.490,42730
ZQQ,Ex:TSE | Src:Google,2024-11-26,145.930,146.500,145.800,146.310,20010
ZQQ,Ex:TSE | Src:Google,2024-11-27,145.900,145.900,144.150,145.000,332448
ZQQ,Ex:TSE | Src:Google,2024-11-28,145.890,145.890,145.500,145.800,15315
ZQQ,Ex:TSE | Src:Google,2024-11-29,145.370,146.500,145.270,146.410,11822
ZQQ,Ex:TSE | Src:Google,2024-12-02,146.700,148.100,146.700,147.960,24611
ZQQ,Ex:TSE | Src:Google,2024-12-03,147.590,148.410,147.590,148.380,17993
ZQQ,Ex:TSE | Src:Google,2024-12-04,149.260,150.270,149.210,150.240,31973
ZQQ,Ex:TSE | Src:Google,2024-12-05,150.250,150.390,149.730,149.740,11384
ZQQ,Ex:TSE | Src:Google,2024-12-06,150.030,151.230,150.030,151.140,29557
ZQQ,Ex:TSE | Src:Google,2024-12-09,150.890,151.040,149.650,149.930,27893
ZQQ,Ex:TSE | Src:Google,2024-12-10,150.290,150.840,149.110,149.390,17511
ZQQ,Ex:TSE | Src:Google,2024-12-11,150.720,152.320,150.690,152.160,30123
ZQQ,Ex:TSE | Src:Google,2024-12-12,151.520,151.870,151.110,151.160,19544
ZQQ,Ex:TSE | Src:Google,2024-12-13,152.360,153.000,151.450,152.330,26252
ZQQ,Ex:TSE | Src:Google,2024-12-16,153.110,154.830,153.040,154.520,27624
ZQQ,Ex:TSE | Src:Google,2024-12-17,154.000,154.380,153.440,153.900,24424
ZQQ,Ex:TSE | Src:Google,2024-12-18,153.750,154.180,147.930,148.210,75333
ZQQ,Ex:TSE | Src:Google,2024-12-19,149.560,149.700,147.500,147.750,55290
ZQQ,Ex:TSE | Src:Google,2024-12-20,146.340,150.550,146.300,148.730,56499
ZQQ,Ex:TSE | Src:Google,2024-12-23,149.370,150.400,148.570,150.360,34132
ZQQ,Ex:TSE | Src:Google,2024-12-24,150.920,152.400,150.780,152.400,15498
ZQQ,Ex:TSE | Src:Google,2024-12-27,151.230,151.300,148.880,150.180,43264
ZQQ,Ex:TSE | Src:Google,2024-12-30,147.640,148.670,146.550,147.680,54911
ZQQ,Ex:TSE | Src:Google,2024-12-31,148.170,148.170,146.090,146.330,55128
ZQQ,Ex:TSE | Src:Google,2025-01-02,147.180,147.790,144.820,145.970,100545
ZQQ,Ex:TSE | Src:Google,2025-01-03,146.880,148.610,146.710,148.390,64001
ZQQ,Ex:TSE | Src:Google,2025-01-06,149.880,151.000,149.520,149.940,52293
ZQQ,Ex:TSE | Src:Google,2025-01-07,150.420,150.460,146.880,147.350,88232
ZQQ,Ex:TSE | Src:Google,2025-01-08,147.330,147.800,146.200,147.480,43248
ZQQ,Ex:TSE | Src:Google,2025-01-09,146.680,148.660,146.680,148.660,5649
ZQQ,Ex:TSE | Src:Google,2025-01-10,146.360,146.360,144.190,145.080,61122
ZQQ,Ex:TSE | Src:Google,2025-01-13,143.230,144.690,142.950,144.690,62247
ZQQ,Ex:TSE | Src:Google,2025-01-14,145.300,145.800,143.500,144.330,42413
ZQQ,Ex:TSE | Src:Google,2025-01-15,146.720,148.060,146.720,147.750,49997
ZQQ,Ex:TSE | Src:Google,2025-01-16,148.400,148.400,146.790,146.790,28239
ZQQ,Ex:TSE | Src:Google,2025-01-17,149.410,149.660,148.460,149.140,56377
ZQQ,Ex:TSE | Src:Google,2025-01-20,149.260,150.220,149.260,150.110,20659
ZQQ,Ex:TSE | Src:Google,2025-01-21,150.030,150.330,148.800,150.040,32662
ZQQ,Ex:TSE | Src:Google,2025-01-22,151.400,152.620,151.400,152.010,38918
ZQQ,Ex:TSE | Src:Google,2025-01-23,151.200,152.270,151.200,152.270,23598
ZQQ,Ex:TSE | Src:Google,2025-01-24,152.390,152.590,151.070,151.460,37353
ZQQ,Ex:TSE | Src:Google,2025-01-27,146.580,148.000,145.890,146.910,88564
ZQQ,Ex:TSE | Src:Google,2025-01-28,147.260,149.460,146.360,149.210,33141
ZQQ,Ex:TSE | Src:Google,2025-01-29,149.320,149.340,147.880,148.740,52820
ZQQ,Ex:TSE | Src:Google,2025-01-30,149.710,150.200,148.250,149.580,38706
ZQQ,Ex:TSE | Src:Google,2025-01-31,150.630,151.920,149.000,149.440,50574
ZQQ,Ex:TSE | Src:Google,2025-02-03,143.500,148.820,143.500,148.080,100755
ZQQ,Ex:TSE | Src:Google,2025-02-04,148.380,150.000,148.230,149.880,40762
ZQQ,Ex:TSE | Src:Google,2025-02-05,149.300,150.500,148.850,150.470,32818
ZQQ,Ex:TSE | Src:Google,2025-02-06,150.640,151.330,150.380,151.300,24025
ZQQ,Ex:TSE | Src:Google,2025-02-07,151.470,152.000,149.210,149.400,54295
ZQQ,Ex:TSE | Src:Google,2025-02-10,150.600,151.480,150.580,151.170,26256
ZQQ,Ex:TSE | Src:Google,2025-02-11,150.230,151.340,150.230,150.770,18295
ZQQ,Ex:TSE | Src:Google,2025-02-12,149.240,151.080,149.220,150.890,21279
ZQQ,Ex:TSE | Src:Google,2025-02-13,151.290,153.060,151.190,153.020,49292
ZQQ,Ex:TSE | Src:Google,2025-02-14,153.060,153.800,153.000,153.670,23870
ZQQ,Ex:TSE | Src:Google,2025-02-18,154.040,154.040,153.110,153.830,21833
ZQQ,Ex:TSE | Src:Google,2025-02-19,153.670,154.350,153.190,154.040,18388
ZQQ,Ex:TSE | Src:Google,2025-02-20,153.700,153.700,152.060,153.290,22804
ZQQ,Ex:TSE | Src:Google,2025-02-21,153.570,153.570,150.110,150.200,47951
ZQQ,Ex:TSE | Src:Google,2025-02-24,150.590,150.900,148.360,148.380,61024
ZQQ,Ex:TSE | Src:Google,2025-02-25,148.160,148.160,145.500,146.630,63725
ZQQ,Ex:TSE | Src:Google,2025-02-26,147.100,148.300,146.020,146.800,49062
ZQQ,Ex:TSE | Src:Google,2025-02-27,147.840,148.000,142.800,142.900,76490
ZQQ,Ex:TSE | Src:Google,2025-02-28,142.600,145.150,141.910,145.150,63904
ZQQ,Ex:TSE | Src:Google,2025-03-03,145.860,146.240,140.930,141.730,85248
ZQQ,Ex:TSE | Src:Google,2025-03-04,140.900,143.670,139.170,141.350,133013
ZQQ,Ex:TSE | Src:Google,2025-03-05,141.700,143.600,140.220,143.430,78398
ZQQ,Ex:TSE | Src:Google,2025-03-06,140.790,142.200,138.800,139.300,100115
ZQQ,Ex:TSE | Src:Google,2025-03-07,139.020,140.680,137.150,140.460,108688
ZQQ,Ex:TSE | Src:Google,2025-03-10,137.880,138.060,133.630,134.790,148595
ZQQ,Ex:TSE | Src:Google,2025-03-11,134.600,136.520,133.180,134.590,121811
ZQQ,Ex:TSE | Src:Google,2025-03-12,136.500,137.150,134.610,136.100,108778
ZQQ,Ex:TSE | Src:Google,2025-03-13,135.910,135.910,133.000,133.540,74176
ZQQ,Ex:TSE | Src:Google,2025-03-14,135.100,137.000,135.060,136.960,61913
ZQQ,Ex:TSE | Src:Google,2025-03-17,136.810,138.540,136.500,137.680,53926
ZQQ,Ex:TSE | Src:Google,2025-03-18,136.630,136.630,134.730,135.390,75637
ZQQ,Ex:TSE | Src:Google,2025-03-19,136.010,138.240,135.650,137.100,36923
ZQQ,Ex:TSE | Src:Google,2025-03-20,136.040,138.150,135.740,136.630,45252
ZQQ,Ex:TSE | Src:Google,2025-03-21,135.180,137.280,134.850,137.270,31104
ZQQ,Ex:TSE | Src:Google,2025-03-24,139.230,140.270,139.150,140.100,36990
ZQQ,Ex:TSE | Src:Google,2025-03-25,140.330,140.890,140.050,140.850,27817
ZQQ,Ex:TSE | Src:Google,2025-03-26,140.500,140.760,137.870,138.370,35393
ZQQ,Ex:TSE | Src:Google,2025-03-27,137.660,138.790,137.120,137.600,20004
ZQQ,Ex:TSE | Src:Google,2025-03-28,136.960,137.130,133.670,134.000,57333
ZQQ,Ex:TSE | Src:Google,2025-03-31,131.950,134.040,130.530,134.040,42451
ZQQ,Ex:TSE | Src:Google,2025-04-01,133.200,135.110,132.660,134.830,34027
ZQQ,Ex:TSE | Src:Google,2025-04-02,132.920,136.640,132.920,135.880,33424
ZQQ,Ex:TSE | Src:Google,2025-04-03,130.150,131.250,128.570,128.570,113608
ZQQ,Ex:TSE | Src:Google,2025-04-04,125.120,125.590,120.850,120.850,144816
ZQQ,Ex:TSE | Src:Google,2025-04-07,116.450,126.390,114.970,121.020,315284
ZQQ,Ex:TSE | Src:Google,2025-04-08,125.040,126.370,117.100,118.930,185322
ZQQ,Ex:TSE | Src:Google,2025-04-09,118.690,133.360,118.690,132.950,238543
ZQQ,Ex:TSE | Src:Google,2025-04-10,129.440,129.800,123.820,127.480,107217
ZQQ,Ex:TSE | Src:Google,2025-04-11,127.080,130.050,126.410,129.700,94829
ZQQ,Ex:TSE | Src:Google,2025-04-14,132.500,132.530,129.490,130.460,63808
ZQQ,Ex:TSE | Src:Google,2025-04-15,130.910,131.800,130.210,130.710,54868
ZQQ,Ex:TSE | Src:Google,2025-04-16,128.050,129.150,125.140,126.910,65639
ZQQ,Ex:TSE | Src:Google,2025-04-17,127.780,127.850,126.230,126.910,62957
ZQQ,Ex:TSE | Src:Google,2025-04-21,125.160,125.370,122.390,123.930,47269
ZQQ,Ex:TSE | Src:Google,2025-04-22,125.400,127.780,125.050,126.980,59863
ZQQ,Ex:TSE | Src:Google,2025-04-23,130.990,132.100,129.200,129.850,82115
ZQQ,Ex:TSE | Src:Google,2025-04-24,129.960,133.260,129.960,133.190,28735
ZQQ,Ex:TSE | Src:Google,2025-04-25,132.990,134.750,132.780,134.650,57083
ZQQ,Ex:TSE | Src:Google,2025-04-28,134.810,135.130,132.830,134.680,36669
ZQQ,Ex:TSE | Src:Google,2025-04-29,134.030,135.620,133.990,135.480,44423
ZQQ,Ex:TSE | Src:Google,2025-04-30,132.940,135.750,131.890,135.670,55057
ZQQ,Ex:TSE | Src:Google,2025-05-01,137.690,138.660,136.980,136.980,42988
ZQQ,Ex:TSE | Src:Google,2025-05-02,138.710,139.710,138.150,139.130,38905
ZQQ,Ex:TSE | Src:Google,2025-05-05,138.060,139.130,137.800,138.230,26672
ZQQ,Ex:TSE | Src:Google,2025-05-06,136.370,137.990,136.130,137.060,30203
ZQQ,Ex:TSE | Src:Google,2025-05-07,137.240,138.180,135.780,137.650,46572
ZQQ,Ex:TSE | Src:Google,2025-05-08,139.230,140.200,137.930,138.920,48230
ZQQ,Ex:TSE | Src:Google,2025-05-09,139.620,139.850,138.470,138.910,25247
ZQQ,Ex:TSE | Src:Google,2025-05-12,144.100,144.600,142.790,144.600,54845
ZQQ,Ex:TSE | Src:Google,2025-05-13,144.900,147.300,144.790,146.910,60864
ZQQ,Ex:TSE | Src:Google,2025-05-14,147.170,147.830,146.870,147.710,57728
ZQQ,Ex:TSE | Src:Google,2025-05-15,147.250,148.630,146.790,147.760,43797
ZQQ,Ex:TSE | Src:Google,2025-05-16,148.120,148.540,147.310,148.490,37510
ZQQ,Ex:TSE | Src:Google,2025-05-20,147.980,148.230,147.110,148.040,60979
ZQQ,Ex:TSE | Src:Google,2025-05-21,147.000,148.680,145.500,146.060,66605
ZQQ,Ex:TSE | Src:Google,2025-05-22,146.170,147.220,145.750,146.200,22916
ZQQ,Ex:TSE | Src:Google,2025-05-23,143.960,145.410,143.820,144.700,40065
