Symbol,Settings,Date,Open,High,Low,Close,Volume
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-13,28.950,28.950,28.090,28.330,271594
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-14,28.830,29.210,28.830,29.130,79272
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-15,29.000,29.300,28.710,29.110,20777
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-18,29.510,29.510,28.650,28.870,65333
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-19,29.250,29.250,27.960,28.220,28156
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-20,28.220,28.450,27.420,27.420,61631
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-21,27.500,28.180,26.530,26.630,28124
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-22,27.250,27.300,26.520,26.590,70966
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-25,26.620,27.610,26.600,27.540,34413
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-26,27.070,28.250,27.070,28.060,35088
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-27,28.900,29.400,28.620,29.300,79900
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-28,29.380,29.970,28.970,29.400,93310
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-29,29.250,29.360,28.760,28.760,50800
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-02,28.550,28.560,27.200,27.450,113255
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-03,27.180,27.580,26.880,27.550,47804
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-04,27.080,27.080,25.190,25.310,29492
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-05,24.640,25.900,24.640,25.350,41003
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-06,25.150,26.270,24.860,26.000,24578
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-10,26.980,28.350,26.980,28.120,90875
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-11,27.780,28.180,27.250,28.160,39027
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-12,28.500,28.500,28.040,28.420,19492
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-13,29.290,29.500,28.990,29.270,21772
HEU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-16,29.690,29.690,28.730,29.530,35976
