Symbol,Settings,Date,Open,High,Low,Close,Volume
HXQ,Ex:TSE | Src:Google,2022-09-29,43.880,43.890,43.060,43.410,37098
HXQ,Ex:TSE | Src:Google,2023-08-16,57.750,58.030,57.350,57.350,16106
HXQ,Ex:TSE | Src:Google,2023-08-17,57.440,57.440,56.780,56.780,5793
HXQ,Ex:TSE | Src:Google,2023-08-18,56.320,56.840,56.300,56.840,12238
HXQ,Ex:TSE | Src:Google,2023-08-21,56.800,57.700,56.800,57.630,8755
HXQ,Ex:TSE | Src:Google,2023-08-22,57.960,57.960,57.520,57.560,18040
HXQ,Ex:TSE | Src:Google,2023-08-23,57.930,58.510,57.930,58.500,8061
HXQ,Ex:TSE | Src:Google,2023-08-24,59.110,59.110,57.350,57.360,9548
HXQ,Ex:TSE | Src:Google,2023-08-25,57.550,58.000,57.250,57.970,11422
HXQ,Ex:TSE | Src:Google,2023-08-28,58.410,58.410,57.940,58.330,13144
HXQ,Ex:TSE | Src:Google,2023-08-29,58.390,59.460,58.390,59.440,39467
HXQ,Ex:TSE | Src:Google,2023-08-30,59.310,59.680,59.250,59.600,13364
HXQ,Ex:TSE | Src:Google,2023-08-31,59.610,60.070,59.610,59.730,6296
HXQ,Ex:TSE | Src:Google,2023-09-01,60.220,60.240,59.890,60.040,11209
HXQ,Ex:TSE | Src:Google,2023-09-05,59.940,60.380,59.900,60.290,11078
HXQ,Ex:TSE | Src:Google,2023-09-06,60.170,60.170,59.650,59.690,8759
HXQ,Ex:TSE | Src:Google,2023-09-07,59.100,59.550,59.010,59.550,10884
HXQ,Ex:TSE | Src:Google,2023-09-08,59.290,59.590,59.290,59.440,5111
HXQ,Ex:TSE | Src:Google,2023-09-11,59.600,59.930,59.370,59.930,17783
HXQ,Ex:TSE | Src:Google,2023-09-12,59.570,59.670,59.060,59.090,7698
HXQ,Ex:TSE | Src:Google,2023-09-13,59.080,59.450,59.000,59.280,10726
HXQ,Ex:TSE | Src:Google,2023-09-14,59.460,59.680,59.220,59.620,16025
HXQ,Ex:TSE | Src:Google,2023-09-15,59.510,59.510,58.520,58.600,40438
HXQ,Ex:TSE | Src:Google,2023-09-18,58.300,58.660,58.300,58.500,12603
HXQ,Ex:TSE | Src:Google,2023-09-19,57.930,58.240,57.660,58.180,20673
HXQ,Ex:TSE | Src:Google,2023-09-20,58.080,58.120,57.500,57.500,4656
HXQ,Ex:TSE | Src:Google,2023-09-21,56.980,57.140,56.490,56.550,9685
HXQ,Ex:TSE | Src:Google,2023-09-22,56.620,57.000,56.450,56.490,8364
HXQ,Ex:TSE | Src:Google,2023-09-25,56.350,56.660,56.250,56.660,8963
HXQ,Ex:TSE | Src:Google,2023-09-26,56.430,56.480,55.950,56.070,13340
HXQ,Ex:TSE | Src:Google,2023-09-27,56.200,56.300,55.670,56.140,21866
HXQ,Ex:TSE | Src:Google,2023-09-28,55.930,56.720,55.810,56.570,10378
HXQ,Ex:TSE | Src:Google,2023-09-29,56.890,57.130,56.790,56.970,11543
HXQ,Ex:TSE | Src:Google,2023-10-02,57.180,57.970,57.180,57.780,8163
HXQ,Ex:TSE | Src:Google,2023-10-03,57.460,57.760,56.820,56.920,4051
HXQ,Ex:TSE | Src:Google,2023-10-04,57.160,57.920,57.160,57.920,2397
HXQ,Ex:TSE | Src:Google,2023-10-05,57.900,57.900,57.150,57.550,7383
HXQ,Ex:TSE | Src:Google,2023-10-06,57.050,58.460,57.000,58.340,11848
HXQ,Ex:TSE | Src:Google,2023-10-10,58.380,59.010,58.380,58.580,14874
HXQ,Ex:TSE | Src:Google,2023-10-11,58.820,59.070,58.760,59.070,8373
HXQ,Ex:TSE | Src:Google,2023-10-12,59.180,59.700,58.950,59.240,4155
HXQ,Ex:TSE | Src:Google,2023-10-13,59.350,59.380,58.290,58.410,13274
HXQ,Ex:TSE | Src:Google,2023-10-16,58.500,59.000,58.500,58.940,9300
HXQ,Ex:TSE | Src:Google,2023-10-17,58.630,58.930,58.220,58.830,13527
HXQ,Ex:TSE | Src:Google,2023-10-18,58.420,58.660,58.170,58.170,8949
HXQ,Ex:TSE | Src:Google,2023-10-19,58.660,58.720,57.780,57.780,30403
HXQ,Ex:TSE | Src:Google,2023-10-20,57.540,57.620,56.900,56.900,8367
HXQ,Ex:TSE | Src:Google,2023-10-23,56.650,57.410,56.500,57.010,8255
HXQ,Ex:TSE | Src:Google,2023-10-24,57.450,57.780,57.430,57.750,1778
HXQ,Ex:TSE | Src:Google,2023-10-25,57.500,57.510,56.500,56.580,15374
HXQ,Ex:TSE | Src:Google,2023-10-26,56.490,56.560,55.500,55.630,29913
HXQ,Ex:TSE | Src:Google,2023-10-27,56.080,56.420,55.940,56.090,29444
HXQ,Ex:TSE | Src:Google,2023-10-30,56.320,56.640,56.200,56.480,7076
HXQ,Ex:TSE | Src:Google,2023-10-31,56.710,57.000,56.410,56.900,4923
HXQ,Ex:TSE | Src:Google,2023-11-01,57.290,58.000,57.190,57.940,11075
HXQ,Ex:TSE | Src:Google,2023-11-02,58.400,58.530,58.240,58.440,5779
HXQ,Ex:TSE | Src:Google,2023-11-03,58.430,59.000,58.430,58.830,6807
HXQ,Ex:TSE | Src:Google,2023-11-06,58.940,59.090,58.810,59.060,8215
HXQ,Ex:TSE | Src:Google,2023-11-07,59.600,60.140,59.520,60.010,8973
HXQ,Ex:TSE | Src:Google,2023-11-08,60.300,60.300,60.000,60.230,3872
HXQ,Ex:TSE | Src:Google,2023-11-09,60.160,60.300,59.770,59.810,5998
HXQ,Ex:TSE | Src:Google,2023-11-10,60.140,61.080,60.140,61.070,6331
HXQ,Ex:TSE | Src:Google,2023-11-13,60.960,61.040,60.750,60.930,5111
HXQ,Ex:TSE | Src:Google,2023-11-14,61.770,61.970,61.660,61.720,8390
HXQ,Ex:TSE | Src:Google,2023-11-15,62.020,62.020,61.500,61.710,4926
HXQ,Ex:TSE | Src:Google,2023-11-16,61.900,62.150,61.800,62.140,6365
HXQ,Ex:TSE | Src:Google,2023-11-17,61.860,62.050,61.780,61.960,8342
HXQ,Ex:TSE | Src:Google,2023-11-20,62.040,62.820,62.040,62.760,8819
HXQ,Ex:TSE | Src:Google,2023-11-21,62.400,62.400,62.000,62.250,6411
HXQ,Ex:TSE | Src:Google,2023-11-22,62.830,63.100,62.520,62.520,11242
HXQ,Ex:TSE | Src:Google,2023-11-23,62.520,62.520,62.520,62.520,369
HXQ,Ex:TSE | Src:Google,2023-11-24,62.190,62.190,61.890,62.090,8692
HXQ,Ex:TSE | Src:Google,2023-11-27,62.080,62.420,62.000,62.000,4292
HXQ,Ex:TSE | Src:Google,2023-11-28,61.730,61.980,61.720,61.980,13328
HXQ,Ex:TSE | Src:Google,2023-11-29,62.440,62.600,61.970,61.990,8920
