Symbol,Settings,Date,Open,High,Low,Close,Volume
HND,Ex:TSE | Src:Google,2022-09-29,18.220,19.020,17.200,17.680,970809
HND,Ex:TSE | Src:Google,2024-03-04,85.830,89.700,80.910,86.850,527267
HND,Ex:TSE | Src:Google,2024-03-05,87.480,90.360,79.920,84.520,359593
HND,Ex:TSE | Src:Google,2024-03-06,83.540,87.730,83.540,86.840,254758
HND,Ex:TSE | Src:Google,2024-03-07,89.810,99.610,87.000,99.300,221407
HND,Ex:TSE | Src:Google,2024-03-08,98.960,100.100,95.860,99.280,217265
HND,Ex:TSE | Src:Google,2024-03-11,102.410,105.600,102.370,105.600,179773
HND,Ex:TSE | Src:Google,2024-03-12,102.040,112.000,102.040,110.230,182599
HND,Ex:TSE | Src:Google,2024-03-13,115.220,116.300,111.000,113.800,220509
HND,Ex:TSE | Src:Google,2024-03-14,113.060,113.300,101.850,104.550,215805
HND,Ex:TSE | Src:Google,2024-03-15,106.760,113.180,106.760,109.500,261382
HND,Ex:TSE | Src:Google,2024-03-18,104.480,110.750,103.020,106.580,160395
HND,Ex:TSE | Src:Google,2024-03-19,102.800,105.800,100.350,102.000,238115
HND,Ex:TSE | Src:Google,2024-03-20,105.700,106.440,103.750,105.940,223732
HND,Ex:TSE | Src:Google,2024-03-21,106.700,110.400,105.470,106.460,295477
HND,Ex:TSE | Src:Google,2024-03-22,110.480,111.170,107.820,109.250,197307
HND,Ex:TSE | Src:Google,2024-03-25,111.520,112.450,108.450,110.400,172754
HND,Ex:TSE | Src:Google,2024-03-26,109.800,113.520,109.110,111.820,186908
HND,Ex:TSE | Src:Google,2024-03-27,119.390,122.330,118.660,121.070,165151
HND,Ex:TSE | Src:Google,2024-03-28,117.680,120.500,111.500,117.000,360390
HND,Ex:TSE | Src:Google,2024-04-01,106.320,109.240,102.790,104.180,369130
HND,Ex:TSE | Src:Google,2024-04-02,108.130,108.850,99.900,102.880,381219
HND,Ex:TSE | Src:Google,2024-04-03,98.510,104.710,98.320,103.150,190740
HND,Ex:TSE | Src:Google,2024-04-04,104.360,112.290,104.250,111.380,257544
HND,Ex:TSE | Src:Google,2024-04-05,111.090,112.000,106.160,111.580,352318
HND,Ex:TSE | Src:Google,2024-04-08,108.800,109.040,103.980,104.620,278717
