Symbol,Settings,Date,Open,High,Low,Close,Volume
VUN,Ex:TSE | Src:Google,2022-05-17,70.650,71.200,70.300,71.130,28124
VUN,Ex:TSE | Src:Google,2022-05-18,70.390,70.390,68.430,68.650,37038
VUN,Ex:TSE | Src:Google,2022-05-19,67.830,68.590,67.500,67.960,35357
VUN,Ex:TSE | Src:Google,2022-05-20,68.690,68.690,66.600,68.140,36516
VUN,Ex:TSE | Src:Google,2022-05-24,68.490,68.620,67.580,68.380,43316
VUN,Ex:TSE | Src:Google,2022-05-25,68.230,69.510,68.230,69.210,38019
VUN,Ex:TSE | Src:Google,2022-05-26,69.300,70.720,69.290,70.430,71381
VUN,Ex:TSE | Src:Google,2022-05-27,70.430,71.940,70.430,71.910,27596
VUN,Ex:TSE | Src:Google,2022-05-30,72.150,72.240,71.990,72.240,29090
VUN,Ex:TSE | Src:Google,2022-05-31,71.570,71.570,70.570,70.990,28976
VUN,Ex:TSE | Src:Google,2022-06-01,71.160,71.350,70.000,70.510,65008
VUN,Ex:TSE | Src:Google,2022-06-02,70.500,71.480,70.030,71.480,49696
VUN,Ex:TSE | Src:Google,2022-06-03,70.700,70.760,70.250,70.440,22580
VUN,Ex:TSE | Src:Google,2022-06-06,70.990,71.110,70.400,70.600,26285
VUN,Ex:TSE | Src:Google,2022-06-07,70.010,71.070,70.000,71.040,23536
VUN,Ex:TSE | Src:Google,2022-06-08,70.950,70.960,70.300,70.400,10775
VUN,Ex:TSE | Src:Google,2022-06-09,70.150,70.710,69.520,69.520,15135
VUN,Ex:TSE | Src:Google,2022-06-10,68.620,68.920,67.860,67.980,41651
VUN,Ex:TSE | Src:Google,2022-06-13,66.710,66.750,65.420,65.420,48820
VUN,Ex:TSE | Src:Google,2022-06-14,65.960,66.250,65.350,65.790,27042
VUN,Ex:TSE | Src:Google,2022-06-15,66.590,67.010,65.790,66.430,42776
VUN,Ex:TSE | Src:Google,2022-06-16,65.170,65.260,63.870,64.260,55423
VUN,Ex:TSE | Src:Google,2022-06-17,64.800,65.600,64.700,65.070,43928
VUN,Ex:TSE | Src:Google,2022-06-20,65.240,65.690,65.240,65.670,32969
VUN,Ex:TSE | Src:Google,2022-06-21,65.670,66.340,65.670,66.000,27823
VUN,Ex:TSE | Src:Google,2022-06-22,65.500,66.590,65.400,66.240,24005
VUN,Ex:TSE | Src:Google,2022-06-23,66.240,66.860,65.980,66.770,52783
VUN,Ex:TSE | Src:Google,2022-06-24,67.020,68.380,67.020,68.380,109363
VUN,Ex:TSE | Src:Google,2022-06-27,68.510,68.680,68.000,68.110,18305
VUN,Ex:TSE | Src:Google,2022-06-28,67.990,68.680,66.710,66.780,29150
VUN,Ex:TSE | Src:Google,2022-06-29,66.890,66.890,66.380,66.710,18427
VUN,Ex:TSE | Src:Google,2022-06-30,66.410,66.520,65.250,65.820,34526
VUN,Ex:TSE | Src:Google,2022-07-04,66.260,66.590,66.260,66.460,58725
VUN,Ex:TSE | Src:Google,2022-07-05,66.360,67.720,66.010,67.710,44927
VUN,Ex:TSE | Src:Google,2022-07-06,67.610,68.250,67.510,67.890,31084
VUN,Ex:TSE | Src:Google,2022-07-07,68.030,68.830,68.030,68.720,78796
VUN,Ex:TSE | Src:Google,2022-07-08,68.500,68.850,68.150,68.560,58766
VUN,Ex:TSE | Src:Google,2022-07-11,68.510,68.510,67.830,67.830,63350
VUN,Ex:TSE | Src:Google,2022-07-12,67.890,68.080,67.210,67.400,31743
VUN,Ex:TSE | Src:Google,2022-07-13,66.690,67.250,66.350,66.920,44978
VUN,Ex:TSE | Src:Google,2022-07-14,66.910,67.390,66.560,67.250,34059
VUN,Ex:TSE | Src:Google,2022-07-15,67.640,68.140,67.630,68.140,67168
