Symbol,Settings,Date,Open,High,Low,Close,Volume
HGD,Ex:TSE | Src:Yahoo JSON (forced),2022-09-29,9.600,9.720,9.160,9.190,243860
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-07,3.580,3.840,3.580,3.800,1205774
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-10,3.750,3.830,3.700,3.700,268699
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-11,3.740,3.840,3.740,3.790,524951
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-12,3.690,3.740,3.600,3.710,309010
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-13,3.760,3.900,3.670,3.880,717154
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-14,3.750,3.900,3.750,3.890,485763
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-17,3.930,3.940,3.850,3.890,147361
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-18,3.920,3.920,3.760,3.810,438708
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-19,3.770,3.830,3.760,3.780,114322
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-20,3.730,3.750,3.560,3.600,360477
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-21,3.620,3.760,3.600,3.710,345821
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-24,3.670,3.730,3.630,3.700,118306
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-25,3.730,3.780,3.710,3.770,164206
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-26,3.840,3.850,3.680,3.680,337922
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-27,3.610,3.630,3.550,3.600,436764
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-06-28,3.560,3.700,3.510,3.655,346362
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-02,3.700,3.775,3.640,3.710,233918
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-03,3.660,3.660,3.400,3.470,546031
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-04,3.420,3.420,3.380,3.410,143994
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-05,3.380,3.380,3.220,3.330,400355
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-08,3.370,3.390,3.265,3.280,225018
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-09,3.300,3.300,3.230,3.240,216820
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-10,3.230,3.230,3.050,3.070,649584
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-11,2.810,3.050,2.810,2.910,507764
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-12,2.960,2.970,2.855,2.880,460810
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-15,2.840,2.920,2.810,2.880,299844
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-16,2.870,2.870,2.705,2.710,426349
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-17,2.680,2.820,2.680,2.820,626251
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-18,2.810,2.930,2.810,2.885,418623
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-19,3.040,3.060,2.910,2.950,573716
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-22,2.950,2.990,2.895,2.900,392440
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-23,2.910,2.930,2.860,2.860,323637
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-24,2.810,2.910,2.740,2.910,447536
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-25,3.040,3.120,3.030,3.080,934005
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-26,3.010,3.070,3.000,3.050,607408
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-29,2.990,3.080,2.960,2.960,453548
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-30,2.950,3.010,2.910,2.925,609603
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-07-31,2.830,2.870,2.780,2.800,384822
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-01,2.780,2.915,2.740,2.840,746137
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-02,2.780,3.030,2.720,2.970,769544
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-06,3.090,3.200,3.090,3.130,590399
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-07,3.100,3.390,3.050,3.370,629692
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-08,3.330,3.380,3.210,3.220,182545
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-09,3.220,3.300,3.180,3.180,120340
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-12,3.150,3.150,2.780,2.810,721229
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-13,2.850,2.850,2.730,2.760,358657
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-14,2.840,2.845,2.750,2.750,521259
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-15,2.760,2.860,2.710,2.740,524013
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-16,2.680,2.690,2.590,2.590,828893
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-19,2.630,2.630,2.490,2.500,587125
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-20,2.430,2.480,2.385,2.450,854654
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-21,2.480,2.500,2.420,2.425,263202
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-22,2.490,2.560,2.480,2.525,403539
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-23,2.470,2.520,2.440,2.480,174250
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-26,2.430,2.530,2.430,2.510,129759
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-27,2.550,2.600,2.540,2.540,311697
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-28,2.590,2.700,2.590,2.660,575507
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-29,2.630,2.630,2.550,2.580,222617
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-08-30,2.610,2.630,2.570,2.600,200279
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-03,2.620,2.810,2.620,2.765,776553
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-04,2.800,2.830,2.760,2.820,252745
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-05,2.770,2.780,2.690,2.780,517545
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-06,2.760,2.920,2.760,2.900,326541
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-09,2.850,2.860,2.820,2.830,95857
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-10,2.810,2.810,2.680,2.680,290728
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-11,2.715,2.750,2.650,2.650,179401
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-12,2.560,2.560,2.340,2.370,915577
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-13,2.300,2.310,2.250,2.290,531221
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-16,2.320,2.360,2.285,2.320,740152
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-17,2.330,2.380,2.300,2.350,374930
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-18,2.340,2.425,2.230,2.425,1773955
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-19,2.360,2.430,2.330,2.390,620882
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-20,2.340,2.360,2.290,2.330,871473
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-23,2.330,2.380,2.270,2.370,1049596
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-24,2.360,2.370,2.290,2.310,605549
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-25,2.290,2.310,2.270,2.300,694367
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-26,2.280,2.310,2.235,2.270,830269
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-27,2.290,2.410,2.280,2.405,1166152
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-09-30,2.410,2.510,2.410,2.470,543682
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-01,2.430,2.450,2.350,2.400,724165
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-02,2.430,2.440,2.360,2.410,293541
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-03,2.410,2.500,2.410,2.460,320758
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-04,2.440,2.475,2.390,2.460,206260
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-07,2.485,2.550,2.470,2.520,241703
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-08,2.550,2.580,2.510,2.510,177848
HGD,Ex:TSE | Src:Yahoo JSON (forced),2024-10-09,2.560,2.610,2.510,2.510,408370
