Symbol,Settings,Date,Open,High,Low,Close,Volume
HQU,Ex:TSE | Src:Yahoo JSON (forced),2020-10-01,11.157,12.333,9.917,10.107,29884986
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-04-01,11.040,11.220,10.365,11.200,9671547
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-05-01,11.160,13.360,10.680,12.890,10605935
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-06-01,12.880,14.790,12.820,14.470,11433535
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-07-01,14.470,15.860,13.980,15.470,10637664
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-08-01,15.350,15.460,13.150,14.860,19636429
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-09-01,15.060,15.070,12.780,13.280,25898022
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-10-01,13.240,14.370,12.010,12.610,26763052
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-11-01,12.660,15.750,12.660,15.340,14950282
HQU,Ex:TSE | Src:Yahoo JSON (forced),2023-12-01,15.220,17.240,14.830,16.970,17428168
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-01-01,16.970,18.530,15.770,17.420,23924362
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-02-01,17.540,19.280,17.480,19.150,18313434
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-03-01,19.190,19.950,18.480,19.450,12628899
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-04-01,19.500,19.740,16.710,17.580,24535682
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-05-01,17.500,20.550,17.250,19.720,12761062
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-06-01,19.980,22.850,19.410,22.090,10257966
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-07-01,22.090,24.360,19.650,21.120,19837737
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-08-01,21.170,22.200,17.900,21.340,23189580
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-09-01,21.340,22.720,18.800,22.170,23929829
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-10-01,22.130,23.235,21.225,21.620,22763660
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-11-01,21.770,24.460,21.640,23.805,18274147
HQU,Ex:TSE | Src:Yahoo JSON (forced),2024-12-01,23.920,26.510,23.570,23.760,19823695
HQU,Ex:TSE | Src:Yahoo JSON (forced),2025-01-01,23.760,25.740,22.620,24.600,20648042
