Symbol,Settings,Date,Open,High,Low,Close,Volume
QQC-F,Ex:TSE | Src:Google,2023-05-11,107.570,108.250,107.570,107.980,2644
QQC-F,Ex:TSE | Src:Google,2023-05-12,107.290,108.210,107.290,107.570,2172
QQC-F,Ex:TSE | Src:Google,2023-05-15,107.500,108.240,107.500,108.240,7230
QQC-F,Ex:TSE | Src:Google,2023-05-16,108.690,108.940,108.350,108.610,7589
QQC-F,Ex:TSE | Src:Google,2023-05-17,108.640,109.800,108.640,109.740,3717
QQC-F,Ex:TSE | Src:Google,2023-05-18,109.500,111.700,109.500,111.700,10135
QQC-F,Ex:TSE | Src:Google,2023-05-19,111.700,111.700,111.200,111.400,5336
QQC-F,Ex:TSE | Src:Google,2023-05-23,111.940,111.940,110.390,110.390,5040
QQC-F,Ex:TSE | Src:Google,2023-05-24,109.470,109.740,109.300,109.590,12735
QQC-F,Ex:TSE | Src:Google,2023-05-25,112.010,112.800,111.820,112.600,4122
QQC-F,Ex:TSE | Src:Google,2023-05-26,112.710,115.630,112.710,115.430,7308
QQC-F,Ex:TSE | Src:Google,2023-05-29,116.100,116.220,115.620,115.620,2959
QQC-F,Ex:TSE | Src:Google,2023-05-30,115.900,117.000,115.800,115.930,7853
QQC-F,Ex:TSE | Src:Google,2023-05-31,115.000,115.500,115.000,115.230,1858
QQC-F,Ex:TSE | Src:Google,2023-06-01,116.000,116.990,115.000,116.850,21183
QQC-F,Ex:TSE | Src:Google,2023-06-02,117.060,117.910,116.900,117.410,6211
QQC-F,Ex:TSE | Src:Google,2023-06-05,117.990,118.300,117.410,117.540,3615
QQC-F,Ex:TSE | Src:Google,2023-06-06,117.540,117.660,117.300,117.580,2813
QQC-F,Ex:TSE | Src:Google,2023-06-07,118.000,118.000,115.490,115.570,3575
QQC-F,Ex:TSE | Src:Google,2023-06-08,116.840,116.990,116.650,116.990,4851
QQC-F,Ex:TSE | Src:Google,2023-06-09,116.990,118.280,116.990,117.280,3854
QQC-F,Ex:TSE | Src:Google,2023-06-12,117.280,119.240,117.280,119.170,3607
QQC-F,Ex:TSE | Src:Google,2023-06-13,120.370,120.370,119.200,119.700,4261
QQC-F,Ex:TSE | Src:Google,2023-06-14,120.040,121.000,119.640,120.830,3314
QQC-F,Ex:TSE | Src:Google,2023-06-15,120.830,122.670,120.830,122.660,8109
QQC-F,Ex:TSE | Src:Google,2023-06-16,123.000,123.060,121.580,121.580,8444
QQC-F,Ex:TSE | Src:Google,2023-06-19,121.510,121.510,121.250,121.250,1103
QQC-F,Ex:TSE | Src:Google,2023-06-20,121.470,121.980,120.590,121.530,24593
QQC-F,Ex:TSE | Src:Google,2023-06-21,121.180,121.180,119.660,119.790,2997
QQC-F,Ex:TSE | Src:Google,2023-06-22,120.430,121.210,120.430,121.170,1731
QQC-F,Ex:TSE | Src:Google,2023-06-23,120.100,120.500,119.770,120.140,4622
QQC-F,Ex:TSE | Src:Google,2023-06-26,120.000,120.610,118.500,118.500,13958
QQC-F,Ex:TSE | Src:Google,2023-06-27,118.850,120.610,118.800,120.610,3256
QQC-F,Ex:TSE | Src:Google,2023-06-28,119.860,120.920,119.860,120.470,5322
QQC-F,Ex:TSE | Src:Google,2023-06-29,120.450,120.450,119.980,120.080,1058
QQC-F,Ex:TSE | Src:Google,2023-06-30,121.460,122.290,121.460,122.260,4369
QQC-F,Ex:TSE | Src:Google,2023-07-04,122.240,122.500,121.930,122.500,3072
QQC-F,Ex:TSE | Src:Google,2023-07-05,122.000,122.760,122.000,122.430,6410
QQC-F,Ex:TSE | Src:Google,2023-07-06,121.240,121.490,120.540,121.350,5179
QQC-F,Ex:TSE | Src:Google,2023-07-07,121.210,122.350,120.970,120.970,1992
QQC-F,Ex:TSE | Src:Google,2023-07-10,120.760,121.170,120.350,120.840,14622
QQC-F,Ex:TSE | Src:Google,2023-07-11,121.060,121.730,121.060,121.630,2464
QQC-F,Ex:TSE | Src:Google,2023-07-12,122.880,123.340,122.600,123.070,3420
QQC-F,Ex:TSE | Src:Google,2023-07-13,124.080,125.400,124.080,125.330,4478
QQC-F,Ex:TSE | Src:Google,2023-07-14,125.480,126.360,125.110,125.150,1986
QQC-F,Ex:TSE | Src:Google,2023-07-17,125.790,126.590,125.750,126.300,10234
QQC-F,Ex:TSE | Src:Google,2023-07-18,126.040,127.790,125.880,127.450,4936
