Symbol,Settings,Date,Open,High,Low,Close,Volume
VFV,Ex:TSE | Src:Google,2020-10-01,79.990,80.110,79.200,79.610,100815
VFV,Ex:TSE | Src:Google,2020-11-30,83.900,83.900,82.800,83.620,126678
VFV,Ex:TSE | Src:Google,2020-12-01,84.210,84.740,84.150,84.260,105807
VFV,Ex:TSE | Src:Google,2020-12-02,84.180,84.350,83.850,84.310,89976
VFV,Ex:TSE | Src:Google,2020-12-03,84.360,84.360,83.740,83.850,102326
VFV,Ex:TSE | Src:Google,2020-12-04,83.920,84.050,83.800,84.050,88981
VFV,Ex:TSE | Src:Google,2020-12-07,84.110,84.220,83.760,84.030,84357
VFV,Ex:TSE | Src:Google,2020-12-08,83.700,84.510,83.700,84.430,92969
VFV,Ex:TSE | Src:Google,2020-12-09,84.580,84.580,83.470,83.750,171045
VFV,Ex:TSE | Src:Google,2020-12-10,83.330,83.330,82.760,83.160,120731
VFV,Ex:TSE | Src:Google,2020-12-11,83.000,83.250,82.530,83.160,91211
VFV,Ex:TSE | Src:Google,2020-12-14,83.490,83.850,82.750,82.750,85944
VFV,Ex:TSE | Src:Google,2020-12-15,83.360,83.480,82.920,83.380,60486
VFV,Ex:TSE | Src:Google,2020-12-16,83.720,84.110,83.690,83.930,143778
VFV,Ex:TSE | Src:Google,2020-12-17,84.210,84.320,83.880,84.290,70459
VFV,Ex:TSE | Src:Google,2020-12-18,84.550,84.570,83.850,84.410,85396
VFV,Ex:TSE | Src:Google,2020-12-21,83.660,84.550,83.280,84.550,84632
VFV,Ex:TSE | Src:Google,2020-12-22,84.650,84.890,84.540,84.640,88555
VFV,Ex:TSE | Src:Google,2020-12-23,84.660,84.830,84.350,84.350,61149
VFV,Ex:TSE | Src:Google,2020-12-24,84.350,84.500,84.210,84.430,37616
VFV,Ex:TSE | Src:Google,2020-12-29,85.280,85.420,84.810,84.960,133045
VFV,Ex:TSE | Src:Google,2020-12-30,84.820,84.880,84.440,84.470,76741
VFV,Ex:TSE | Src:Google,2020-12-31,84.300,84.840,84.080,84.770,89294
VFV,Ex:TSE | Src:Google,2021-01-04,85.250,85.250,83.120,83.840,289091
VFV,Ex:TSE | Src:Google,2021-01-05,83.650,84.100,83.500,83.780,130776
VFV,Ex:TSE | Src:Google,2021-01-06,83.940,85.040,83.560,84.240,139713
VFV,Ex:TSE | Src:Google,2021-01-07,85.070,85.960,85.070,85.580,93562
VFV,Ex:TSE | Src:Google,2021-01-08,85.890,86.220,85.540,86.190,126550
VFV,Ex:TSE | Src:Google,2021-01-11,86.360,86.620,86.040,86.160,97422
VFV,Ex:TSE | Src:Google,2021-01-12,86.070,86.240,85.520,85.760,101007
VFV,Ex:TSE | Src:Google,2021-01-13,85.920,86.030,85.740,85.910,133390
VFV,Ex:TSE | Src:Google,2021-01-14,86.300,86.300,85.090,85.170,106692
VFV,Ex:TSE | Src:Google,2021-01-15,85.340,85.500,84.900,85.200,110441
VFV,Ex:TSE | Src:Google,2021-01-18,85.540,85.760,85.500,85.560,50539
VFV,Ex:TSE | Src:Google,2021-01-19,85.880,86.020,85.450,85.860,96872
VFV,Ex:TSE | Src:Google,2021-01-20,86.430,86.640,85.910,86.480,107267
VFV,Ex:TSE | Src:Google,2021-01-21,86.410,86.530,86.120,86.380,60407
VFV,Ex:TSE | Src:Google,2021-01-22,86.430,86.960,86.360,86.770,84185
VFV,Ex:TSE | Src:Google,2021-01-25,86.970,87.200,86.130,87.200,226555
VFV,Ex:TSE | Src:Google,2021-01-26,87.300,87.330,86.690,86.740,81849
VFV,Ex:TSE | Src:Google,2021-01-27,86.500,86.510,84.870,85.190,211193
VFV,Ex:TSE | Src:Google,2021-01-28,85.850,87.050,85.850,86.110,95284
VFV,Ex:TSE | Src:Google,2021-01-29,85.430,85.430,84.000,84.300,227435
VFV,Ex:TSE | Src:Google,2021-02-01,85.340,86.300,84.770,86.210,100626
VFV,Ex:TSE | Src:Google,2021-02-02,86.600,87.470,86.600,87.010,122698
VFV,Ex:TSE | Src:Google,2021-02-03,87.180,87.270,86.780,86.950,85520
VFV,Ex:TSE | Src:Google,2021-02-04,87.480,88.130,87.360,88.130,185829
VFV,Ex:TSE | Src:Google,2021-02-05,88.460,88.460,87.990,88.110,123592
VFV,Ex:TSE | Src:Google,2021-02-08,88.730,88.730,88.210,88.560,103099
VFV,Ex:TSE | Src:Google,2021-02-09,88.450,88.560,88.200,88.210,189591
VFV,Ex:TSE | Src:Google,2021-02-10,88.550,88.560,87.710,88.190,106878
VFV,Ex:TSE | Src:Google,2021-02-11,88.250,88.360,87.800,88.360,108664
VFV,Ex:TSE | Src:Google,2021-02-12,88.200,88.830,88.200,88.830,114223
VFV,Ex:TSE | Src:Google,2021-02-16,89.450,89.450,88.530,88.610,373020
VFV,Ex:TSE | Src:Google,2021-02-17,88.600,88.740,88.260,88.710,95303
VFV,Ex:TSE | Src:Google,2021-02-18,88.260,88.380,87.860,88.140,100336
VFV,Ex:TSE | Src:Google,2021-02-19,88.330,88.330,87.550,87.640,145245
VFV,Ex:TSE | Src:Google,2021-02-22,87.350,87.370,86.940,86.980,221799
VFV,Ex:TSE | Src:Google,2021-02-23,86.550,87.120,85.680,86.810,190216
VFV,Ex:TSE | Src:Google,2021-02-24,86.700,87.480,86.350,87.350,97393
VFV,Ex:TSE | Src:Google,2021-02-25,87.100,87.100,85.350,85.920,217357
VFV,Ex:TSE | Src:Google,2021-02-26,86.540,87.190,85.400,86.310,209420
VFV,Ex:TSE | Src:Google,2021-03-01,87.130,88.020,87.000,87.820,134167
VFV,Ex:TSE | Src:Google,2021-03-02,87.830,87.830,86.820,86.820,182399
VFV,Ex:TSE | Src:Google,2021-03-03,87.380,87.380,85.880,85.880,185595
VFV,Ex:TSE | Src:Google,2021-03-04,85.770,86.130,84.030,84.820,311947
VFV,Ex:TSE | Src:Google,2021-03-05,85.910,86.640,84.250,86.540,263508
VFV,Ex:TSE | Src:Google,2021-03-08,87.000,87.300,86.090,86.090,232751
VFV,Ex:TSE | Src:Google,2021-03-09,86.770,87.760,86.600,87.130,160525
VFV,Ex:TSE | Src:Google,2021-03-10,87.830,87.960,87.460,87.490,163905
VFV,Ex:TSE | Src:Google,2021-03-11,88.040,88.420,87.730,87.750,148227
VFV,Ex:TSE | Src:Google,2021-03-12,87.640,87.640,87.090,87.490,108142
VFV,Ex:TSE | Src:Google,2021-03-15,88.240,88.240,87.380,88.060,124197
VFV,Ex:TSE | Src:Google,2021-03-16,88.150,88.300,87.550,87.710,117707
