Symbol,Settings,Date,Open,High,Low,Close,Volume
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-26,3.760,3.780,3.670,3.720,120250
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-27,3.780,3.870,3.780,3.870,11200
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-28,3.920,3.940,3.890,3.920,20685
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-29,3.860,3.880,3.820,3.840,19662
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-08-30,3.940,4.020,3.940,3.980,35895
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-03,4.060,4.230,4.060,4.190,24107
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-04,4.210,4.310,4.200,4.310,7240
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-05,4.240,4.440,4.240,4.440,13860
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-06,4.390,4.600,4.390,4.580,32114
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-09,4.560,4.600,4.490,4.600,22200
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-10,4.680,4.900,4.680,4.830,26791
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-11,4.760,4.920,4.730,4.790,5357
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-12,4.770,4.770,4.710,4.740,6200
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-13,4.680,4.700,4.680,4.700,3000
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-16,4.730,4.730,4.610,4.620,15200
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-17,4.545,4.550,4.490,4.490,7557
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-18,4.510,4.560,4.450,4.530,16000
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-19,4.400,4.420,4.360,4.360,13035
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-20,4.450,4.490,4.400,4.400,23800
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-23,4.300,4.460,4.290,4.380,17550
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-24,4.250,4.290,4.220,4.290,4221
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-25,4.310,4.490,4.310,4.460,49656
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-26,4.630,4.730,4.600,4.720,47050
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-27,4.650,4.670,4.550,4.560,12610
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-09-30,4.530,4.540,4.470,4.470,22900
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-01,4.510,4.510,4.150,4.170,112000
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-02,4.040,4.240,4.040,4.160,40900
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-03,4.150,4.160,3.925,3.930,85221
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-04,3.900,3.900,3.830,3.835,32155
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-07,3.870,3.870,3.650,3.690,63366
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-08,3.800,3.910,3.800,3.850,133550
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-09,3.900,3.940,3.830,3.830,120305
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-10,3.780,3.800,3.640,3.650,158345
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-11,3.670,3.690,3.630,3.650,107840
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-15,3.940,4.010,3.930,3.990,144533
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-16,3.990,4.030,3.980,4.030,119232
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-17,4.000,4.010,3.940,3.940,70400
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-18,3.960,4.060,3.960,3.980,102796
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-21,3.900,3.970,3.900,3.960,69406
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-22,3.950,3.990,3.930,3.940,141306
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-23,3.950,4.080,3.950,4.040,86266
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-24,4.020,4.060,3.990,4.000,26629
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-25,3.930,3.950,3.870,3.890,51666
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-28,4.050,4.130,4.020,4.030,40849
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-29,4.030,4.130,4.020,4.080,39405
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-30,4.040,4.070,4.010,4.050,18502
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-10-31,4.010,4.210,4.010,4.150,42961
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-01,4.050,4.250,4.020,4.230,27512
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-04,4.130,4.140,4.060,4.120,49700
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-05,4.080,4.130,4.070,4.130,21600
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-06,4.120,4.120,3.950,3.960,65313
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-07,4.010,4.010,3.910,3.920,44754
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-08,4.010,4.070,4.000,4.010,38194
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-11,4.030,4.030,3.980,4.010,5100
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-12,3.990,4.130,3.990,4.120,27601
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-13,4.000,4.180,4.000,4.030,10540
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-14,3.910,3.910,3.850,3.860,127667
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-15,3.860,3.950,3.820,3.940,108658
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-18,3.880,3.900,3.840,3.860,42221
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-19,3.830,3.930,3.830,3.880,21260
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-20,3.830,3.870,3.810,3.810,11982
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-21,3.790,3.790,3.650,3.670,109139
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-22,3.700,3.700,3.630,3.640,2791
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-25,22.260,22.800,22.020,22.620,8916
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-26,22.620,23.940,22.620,23.640,28649
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-27,23.640,23.760,23.280,23.580,1894
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-28,23.430,23.430,23.230,23.370,2700
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-11-29,23.090,23.380,23.090,23.190,10200
HED,Ex:TSE | Src:Yahoo JSON (forced),2024-12-02,23.150,23.920,23.150,23.590,20658
