Symbol,Settings,Date,Open,High,Low,Close,Volume
HXF,Ex:TSE | Src:Google,2023-10-20,55.000,55.000,55.000,55.000,110
HXF,Ex:TSE | Src:Google,2023-10-25,54.210,54.660,54.210,54.660,715
HXF,Ex:TSE | Src:Google,2023-10-27,53.900,53.940,53.900,53.940,386
HXF,Ex:TSE | Src:Google,2023-10-30,54.650,54.690,54.650,54.690,200
HXF,Ex:TSE | Src:Google,2023-11-01,55.140,55.260,55.140,55.260,200
HXF,Ex:TSE | Src:Google,2023-11-07,57.290,57.300,57.290,57.300,675
HXF,Ex:TSE | Src:Google,2023-11-14,58.650,59.300,58.650,59.300,910
HXF,Ex:TSE | Src:Google,2023-11-15,59.520,59.520,59.520,59.520,125
HXF,Ex:TSE | Src:Google,2023-11-16,59.500,59.500,59.500,59.500,251
HXF,Ex:TSE | Src:Google,2023-11-20,60.000,60.180,60.000,60.180,365
HXF,Ex:TSE | Src:Google,2023-11-22,59.860,59.860,59.860,59.860,375
HXF,Ex:TSE | Src:Google,2023-11-24,59.650,59.650,59.650,59.650,100
HXF,Ex:TSE | Src:Google,2023-11-28,58.940,58.940,58.940,58.940,150
HXF,Ex:TSE | Src:Google,2023-11-30,60.260,60.260,60.260,60.260,100
HXF,Ex:TSE | Src:Google,2023-12-01,60.750,60.760,60.750,60.760,1152
HXF,Ex:TSE | Src:Google,2023-12-04,60.750,60.750,60.750,60.750,351
HXF,Ex:TSE | Src:Google,2023-12-06,61.250,61.250,61.250,61.250,243
HXF,Ex:TSE | Src:Google,2023-12-07,60.950,60.950,60.930,60.930,2568
HXF,Ex:TSE | Src:Google,2023-12-11,61.290,61.510,61.290,61.510,301
HXF,Ex:TSE | Src:Google,2023-12-12,61.610,61.620,61.610,61.620,1100
HXF,Ex:TSE | Src:Google,2023-12-13,61.770,62.450,61.750,62.450,300
HXF,Ex:TSE | Src:Google,2023-12-14,63.000,63.000,63.000,63.000,2918
HXF,Ex:TSE | Src:Google,2023-12-15,63.050,63.050,63.050,63.050,250
HXF,Ex:TSE | Src:Google,2023-12-20,64.330,64.330,64.280,64.280,2912
HXF,Ex:TSE | Src:Google,2023-12-22,64.470,64.530,64.470,64.490,1017
HXF,Ex:TSE | Src:Google,2023-12-28,64.900,64.900,64.900,64.900,100
HXF,Ex:TSE | Src:Google,2023-12-29,64.820,64.820,64.820,64.820,400
HXF,Ex:TSE | Src:Google,2024-01-03,64.370,64.370,64.290,64.290,555
HXF,Ex:TSE | Src:Google,2024-01-04,64.640,64.640,64.640,64.640,4900
HXF,Ex:TSE | Src:Google,2024-01-08,65.180,65.180,65.180,65.180,161
HXF,Ex:TSE | Src:Google,2024-01-11,64.000,64.000,63.950,63.950,201
HXF,Ex:TSE | Src:Google,2024-01-15,63.770,63.900,63.770,63.900,2501
HXF,Ex:TSE | Src:Google,2024-01-16,63.750,63.750,63.500,63.500,270
HXF,Ex:TSE | Src:Google,2024-01-17,63.320,63.320,63.200,63.200,301
HXF,Ex:TSE | Src:Google,2024-01-18,63.550,63.550,63.540,63.550,2400
HXF,Ex:TSE | Src:Google,2024-01-19,63.750,64.150,63.750,64.150,1248
HXF,Ex:TSE | Src:Google,2024-01-22,64.320,64.320,64.320,64.320,100
HXF,Ex:TSE | Src:Google,2024-01-29,65.340,65.340,65.310,65.310,600
HXF,Ex:TSE | Src:Google,2024-01-31,65.500,65.500,65.500,65.500,140
HXF,Ex:TSE | Src:Google,2024-02-01,65.230,65.230,65.230,65.230,110
HXF,Ex:TSE | Src:Google,2024-02-02,64.230,64.230,64.230,64.230,400
HXF,Ex:TSE | Src:Google,2024-02-05,64.270,64.270,64.270,64.270,505
HXF,Ex:TSE | Src:Google,2024-02-06,64.580,64.580,64.580,64.580,200
HXF,Ex:TSE | Src:Google,2024-02-08,64.520,64.520,63.750,63.750,305
HXF,Ex:TSE | Src:Google,2024-02-13,64.000,64.000,63.300,63.300,825
HXF,Ex:TSE | Src:Google,2024-02-15,65.920,65.920,65.920,65.920,100
HXF,Ex:TSE | Src:Google,2024-02-20,66.180,66.180,66.180,66.180,2036
HXF,Ex:TSE | Src:Google,2024-02-22,66.300,66.350,66.300,66.350,700
HXF,Ex:TSE | Src:Google,2024-02-28,66.260,66.290,66.000,66.000,900
HXF,Ex:TSE | Src:Google,2024-02-29,66.220,66.220,66.220,66.220,104
HXF,Ex:TSE | Src:Google,2024-03-04,66.570,66.570,66.570,66.570,309
HXF,Ex:TSE | Src:Google,2024-03-05,66.830,66.830,66.830,66.830,100
HXF,Ex:TSE | Src:Google,2024-03-06,67.080,67.080,67.070,67.070,600
HXF,Ex:TSE | Src:Google,2024-03-07,67.420,67.420,67.390,67.390,200
HXF,Ex:TSE | Src:Google,2024-03-12,67.600,67.700,67.600,67.700,1300
HXF,Ex:TSE | Src:Google,2024-03-14,67.400,67.400,67.400,67.400,1000
HXF,Ex:TSE | Src:Google,2024-03-15,67.270,67.270,67.270,67.270,1000
HXF,Ex:TSE | Src:Google,2024-03-19,67.600,67.600,67.600,67.600,1800
HXF,Ex:TSE | Src:Google,2024-03-20,67.600,67.600,67.600,67.600,700
HXF,Ex:TSE | Src:Google,2024-03-21,68.380,68.620,68.380,68.620,550
HXF,Ex:TSE | Src:Google,2024-03-25,68.100,68.100,68.100,68.100,400
HXF,Ex:TSE | Src:Google,2024-03-26,68.010,68.010,68.010,68.010,806
HXF,Ex:TSE | Src:Google,2024-03-27,68.030,68.180,68.030,68.180,525
HXF,Ex:TSE | Src:Google,2024-04-01,68.160,68.160,68.160,68.160,150
HXF,Ex:TSE | Src:Google,2024-04-08,68.480,68.480,68.480,68.480,537
