Symbol,Settings,Date,Open,High,Low,Close,Volume
HNU,Ex:TSE | Src:Google,2022-09-29,18.400,19.520,17.500,18.990,1232764
HNU,Ex:TSE | Src:Google,2024-02-12,4.620,4.730,4.150,4.220,5778711
HNU,Ex:TSE | Src:Google,2024-02-13,3.970,4.040,3.840,3.940,5949316
HNU,Ex:TSE | Src:Google,2024-02-14,3.830,3.910,3.550,3.630,5425707
HNU,Ex:TSE | Src:Google,2024-02-15,3.720,3.750,3.520,3.620,4819479
HNU,Ex:TSE | Src:Google,2024-02-16,3.630,3.830,3.620,3.720,4876817
HNU,Ex:TSE | Src:Google,2024-02-20,3.590,3.670,3.500,3.600,3875418
HNU,Ex:TSE | Src:Google,2024-02-21,4.170,4.530,4.170,4.490,7939658
HNU,Ex:TSE | Src:Google,2024-02-22,4.270,4.410,3.980,4.300,7090796
HNU,Ex:TSE | Src:Google,2024-02-23,3.960,3.960,3.690,3.740,11488253
HNU,Ex:TSE | Src:Google,2024-02-26,4.140,4.200,3.800,3.940,9204034
HNU,Ex:TSE | Src:Google,2024-02-27,4.170,4.340,4.040,4.220,8758372
HNU,Ex:TSE | Src:Google,2024-02-28,4.390,4.660,4.370,4.500,6207490
HNU,Ex:TSE | Src:Google,2024-02-29,4.450,4.720,4.370,4.390,5124165
HNU,Ex:TSE | Src:Google,2024-03-01,4.270,4.430,4.260,4.330,4536164
HNU,Ex:TSE | Src:Google,2024-03-04,4.800,5.050,4.650,4.800,8323983
HNU,Ex:TSE | Src:Google,2024-03-05,4.780,5.160,4.610,4.930,5395999
HNU,Ex:TSE | Src:Google,2024-03-06,4.960,4.970,4.740,4.780,3584622
HNU,Ex:TSE | Src:Google,2024-03-07,4.640,4.790,4.110,4.120,7929358
HNU,Ex:TSE | Src:Google,2024-03-08,4.120,4.280,4.090,4.130,3608388
HNU,Ex:TSE | Src:Google,2024-03-11,4.000,4.000,3.860,3.870,4956806
HNU,Ex:TSE | Src:Google,2024-03-12,3.990,4.010,3.630,3.710,5206944
HNU,Ex:TSE | Src:Google,2024-03-13,3.540,3.670,3.490,3.580,5160862
HNU,Ex:TSE | Src:Google,2024-03-14,3.600,3.960,3.590,3.870,5708380
HNU,Ex:TSE | Src:Google,2024-03-15,3.800,3.800,3.540,3.670,10506810
HNU,Ex:TSE | Src:Google,2024-03-18,3.820,3.870,3.630,3.760,6638986
HNU,Ex:TSE | Src:Google,2024-03-19,3.880,3.970,3.780,3.910,6282112
HNU,Ex:TSE | Src:Google,2024-03-20,3.780,3.850,3.740,3.770,7131201
HNU,Ex:TSE | Src:Google,2024-03-21,3.730,3.780,3.610,3.740,8729232
HNU,Ex:TSE | Src:Google,2024-03-22,3.620,3.690,3.580,3.640,7876579
HNU,Ex:TSE | Src:Google,2024-03-25,3.590,3.680,3.540,3.610,5880184
HNU,Ex:TSE | Src:Google,2024-03-26,3.620,3.660,3.510,3.560,5904871
HNU,Ex:TSE | Src:Google,2024-03-27,3.340,3.350,3.230,3.280,6933568
HNU,Ex:TSE | Src:Google,2024-03-28,3.350,3.530,3.290,3.370,7813875
HNU,Ex:TSE | Src:Google,2024-04-01,3.670,3.800,3.610,3.760,8401932
HNU,Ex:TSE | Src:Google,2024-04-02,3.630,3.920,3.600,3.810,6553105
HNU,Ex:TSE | Src:Google,2024-04-03,3.970,3.980,3.740,3.800,5616112
HNU,Ex:TSE | Src:Google,2024-04-04,3.740,3.760,3.470,3.490,6484989
